"run","MaxPop","MinPop","countPop"
2,1950,3,1902
4,1977,3,1837
6,1993,5,1937
8,2011,4,1905
10,2013,4,1948
12,2048,2,1964
14,2087,6,1932
16,2032,1,1910
18,2033,3,1897
20,2057,2,1848
22,2020,2,1902
24,2024,3,1861
26,2049,2,1840
28,2101,3,1768
30,2072,3,1787
32,2074,4,1847
34,2113,1,1828
36,2084,2,1776
38,2107,2,1703
40,2098,4,1750
42,2103,4,1628
44,2140,3,1710
46,2117,3,1618
48,2094,5,1550
50,2126,6,1514
52,2132,2,1499
54,2142,2,1426
56,2142,2,1427
58,2170,4,1267
60,2183,3,1278
62,2197,1,1157
64,2185,2,1194
66,2184,2,1132
68,2182,1,1197
70,2186,2,1091
72,2244,3,1061
74,2234,2,1078
76,2245,5,1002
78,2193,2,961
80,2223,3,950
82,2298,5,970
84,2299,3,920
86,2290,3,824
88,2263,4,909
90,2300,3,850
92,2338,4,828
94,2318,4,858
96,2251,4,847
98,2364,2,764
100,2325,1,805
1,829,2,526
3,2033,3,1950
5,2004,3,1961
7,2000,2000,2010
9,2006,4,1970
11,1959,1959,1946
13,1993,6,1928
15,2025,2,1931
17,2002,3,1846
19,2020,7,1913
21,2079,5,1901
23,2072,2,1860
25,2026,3,1939
27,2013,4,1846
29,2044,3,1937
31,2027,4,1841
33,2048,3,1825
35,2089,2,1736
37,2132,2,1809
39,2059,3,1739
41,2120,3,1672
43,2096,2,1722
45,2118,2,1788
47,2120,2,1629
49,2152,5,1572
51,2146,3,1557
53,2140,3,1463
55,2154,4,1397
57,2146,2,1483
59,2151,3,1317
61,2196,2,1264
63,2174,2,1253
65,2153,4,1251
67,2172,2,1142
69,2175,4,1129
71,2219,5,1216
73,2225,4,1054
75,2250,3,982
77,2247,3,914
79,2255,3,1015
81,2272,2,952
83,2253,3,1032
85,2215,5,911
87,2287,3,889
89,2314,0,901
91,2272,2,943
93,2287,3,809
95,2336,2,872
97,2321,1,795
99,2349,2,819
