"run","disturbance","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
2,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.01,-1289564231,2.0,1.0,0.03,0.05,0.05,100.0
4,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.03,-1289559308,2.0,1.0,0.03,0.05,0.05,100.0
6,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.05,-1289555266,2.0,1.0,0.03,0.05,0.05,100.0
8,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.07,-1289551040,2.0,1.0,0.03,0.05,0.05,100.0
10,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.09,-1289546567,2.0,1.0,0.03,0.05,0.05,100.0
12,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.11,-1289542431,2.0,1.0,0.03,0.05,0.05,100.0
14,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.13,-1289538387,2.0,1.0,0.03,0.05,0.05,100.0
16,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.15,-1289534215,2.0,1.0,0.03,0.05,0.05,100.0
18,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.17,-1289529981,2.0,1.0,0.03,0.05,0.05,100.0
20,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.19,-1289526104,2.0,1.0,0.03,0.05,0.05,100.0
22,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.21,-1289522305,2.0,1.0,0.03,0.05,0.05,100.0
