"run","MaxPop","MinPop","countPop"
7,2369,4,782
14,2374,2,856
21,2298,3,857
28,2355,5,805
35,2317,0,811
42,2376,5,853
49,2368,4,894
56,2326,3,884
63,2346,2,917
70,2383,4,939
77,2367,3,968
84,2456,4,984
91,2449,3,1320
98,2487,3,1635
6,2382,4,847
13,2309,4,804
20,2318,4,874
27,2368,4,791
34,2378,3,806
41,2333,6,816
48,2365,3,820
55,2382,3,816
62,2337,7,883
69,2379,2,844
76,2348,3,906
83,2369,4,1058
90,2405,2,1254
97,2454,6,1619
5,2285,5,842
12,2363,2,836
19,2331,4,813
26,2375,2,826
33,2322,4,861
40,2338,3,821
47,2379,1,849
54,2395,3,883
61,2394,0,863
68,2393,3,904
75,2375,5,918
82,2468,2,1045
89,2402,4,1271
96,2460,3,1546
4,2316,3,841
11,2356,2,812
18,2351,3,841
25,2333,3,792
32,2375,4,852
39,2311,1,821
46,2364,3,838
53,2383,4,826
60,2388,2,830
67,2365,3,896
74,2361,2,958
81,2429,3,1004
88,2453,3,1080
95,2482,4,1416
3,2342,3,915
10,2338,3,779
17,2312,4,844
24,2317,2,874
31,2342,3,853
38,2366,3,903
45,2409,3,840
52,2332,5,850
59,2411,3,893
66,2401,4,853
73,2389,3,881
80,2347,2,953
87,2416,3,1137
94,2443,3,1493
101,2494,3,2146
2,2370,2,825
9,2339,2,867
16,2344,5,793
23,2312,3,800
30,2316,4,849
37,2374,5,844
44,2351,3,816
51,2343,3,859
58,2347,2,891
65,2396,1,879
72,2422,2,890
79,2388,1,988
86,2411,3,1127
93,2482,3,1437
100,2479,7,2084
1,2300,3,844
8,2316,2,877
15,2279,4,890
22,2361,3,858
29,2351,3,829
36,2352,3,867
43,2374,5,823
50,2367,4,802
57,2403,3,881
64,2397,5,876
71,2350,3,900
78,2407,5,998
85,2383,5,1071
92,2474,2,1301
99,2440,5,1837
