"run","disturbance","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
7,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.06,0.05,10.0,1.0,0.9999,-1292839023,2.0,1.0,0.03,0.05,0.05,100.0
14,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.13,0.05,10.0,1.0,0.9999,-1292824253,2.0,1.0,0.03,0.05,0.05,100.0
21,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.2,0.05,10.0,1.0,0.9999,-1292811997,2.0,1.0,0.03,0.05,0.05,100.0
28,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.27,0.05,10.0,1.0,0.9999,-1292799816,2.0,1.0,0.03,0.05,0.05,100.0
35,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.34,0.05,10.0,1.0,0.9999,-1292787637,2.0,1.0,0.03,0.05,0.05,100.0
42,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.41,0.05,10.0,1.0,0.9999,-1292774941,2.0,1.0,0.03,0.05,0.05,100.0
49,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.48,0.05,10.0,1.0,0.9999,-1292762328,2.0,1.0,0.03,0.05,0.05,100.0
56,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.55,0.05,10.0,1.0,0.9999,-1292750061,2.0,1.0,0.03,0.05,0.05,100.0
63,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.62,0.05,10.0,1.0,0.9999,-1292738394,2.0,1.0,0.03,0.05,0.05,100.0
70,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.69,0.05,10.0,1.0,0.9999,-1292726217,2.0,1.0,0.03,0.05,0.05,100.0
77,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.76,0.05,10.0,1.0,0.9999,-1292714578,2.0,1.0,0.03,0.05,0.05,100.0
84,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.83,0.05,10.0,1.0,0.9999,-1292702559,2.0,1.0,0.03,0.05,0.05,100.0
91,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.9,0.05,10.0,1.0,0.9999,-1292689895,2.0,1.0,0.03,0.05,0.05,100.0
98,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.97,0.05,10.0,1.0,0.9999,-1292675954,2.0,1.0,0.03,0.05,0.05,100.0
6,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.05,0.05,10.0,1.0,0.9999,-1292841573,2.0,1.0,0.03,0.05,0.05,100.0
13,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.12,0.05,10.0,1.0,0.9999,-1292825960,2.0,1.0,0.03,0.05,0.05,100.0
20,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.19,0.05,10.0,1.0,0.9999,-1292814240,2.0,1.0,0.03,0.05,0.05,100.0
27,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.26,0.05,10.0,1.0,0.9999,-1292802345,2.0,1.0,0.03,0.05,0.05,100.0
34,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.33,0.05,10.0,1.0,0.9999,-1292790290,2.0,1.0,0.03,0.05,0.05,100.0
41,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.4,0.05,10.0,1.0,0.9999,-1292777883,2.0,1.0,0.03,0.05,0.05,100.0
48,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.47,0.05,10.0,1.0,0.9999,-1292766289,2.0,1.0,0.03,0.05,0.05,100.0
55,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.54,0.05,10.0,1.0,0.9999,-1292754603,2.0,1.0,0.03,0.05,0.05,100.0
62,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.61,0.05,10.0,1.0,0.9999,-1292742718,2.0,1.0,0.03,0.05,0.05,100.0
69,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.68,0.05,10.0,1.0,0.9999,-1292730732,2.0,1.0,0.03,0.05,0.05,100.0
76,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.75,0.05,10.0,1.0,0.9999,-1292718697,2.0,1.0,0.03,0.05,0.05,100.0
83,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.82,0.05,10.0,1.0,0.9999,-1292706740,2.0,1.0,0.03,0.05,0.05,100.0
90,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.89,0.05,10.0,1.0,0.9999,-1292694103,2.0,1.0,0.03,0.05,0.05,100.0
97,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.96,0.05,10.0,1.0,0.9999,-1292681458,2.0,1.0,0.03,0.05,0.05,100.0
5,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.04,0.05,10.0,1.0,0.9999,-1292840847,2.0,1.0,0.03,0.05,0.05,100.0
12,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.11,0.05,10.0,1.0,0.9999,-1292825748,2.0,1.0,0.03,0.05,0.05,100.0
19,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.18,0.05,10.0,1.0,0.9999,-1292812904,2.0,1.0,0.03,0.05,0.05,100.0
26,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.25,0.05,10.0,1.0,0.9999,-1292801359,2.0,1.0,0.03,0.05,0.05,100.0
33,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.32,0.05,10.0,1.0,0.9999,-1292789096,2.0,1.0,0.03,0.05,0.05,100.0
40,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.39,0.05,10.0,1.0,0.9999,-1292777037,2.0,1.0,0.03,0.05,0.05,100.0
47,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.46,0.05,10.0,1.0,0.9999,-1292765582,2.0,1.0,0.03,0.05,0.05,100.0
54,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.53,0.05,10.0,1.0,0.9999,-1292753542,2.0,1.0,0.03,0.05,0.05,100.0
61,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.6,0.05,10.0,1.0,0.9999,-1292741821,2.0,1.0,0.03,0.05,0.05,100.0
68,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.67,0.05,10.0,1.0,0.9999,-1292730335,2.0,1.0,0.03,0.05,0.05,100.0
75,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.74,0.05,10.0,1.0,0.9999,-1292718027,2.0,1.0,0.03,0.05,0.05,100.0
82,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.81,0.05,10.0,1.0,0.9999,-1292706356,2.0,1.0,0.03,0.05,0.05,100.0
89,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.88,0.05,10.0,1.0,0.9999,-1292693836,2.0,1.0,0.03,0.05,0.05,100.0
96,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.95,0.05,10.0,1.0,0.9999,-1292681968,2.0,1.0,0.03,0.05,0.05,100.0
4,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.03,0.05,10.0,1.0,0.9999,-1292840716,2.0,1.0,0.03,0.05,0.05,100.0
11,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.1,0.05,10.0,1.0,0.9999,-1292825848,2.0,1.0,0.03,0.05,0.05,100.0
18,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.17,0.05,10.0,1.0,0.9999,-1292813758,2.0,1.0,0.03,0.05,0.05,100.0
25,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.24,0.05,10.0,1.0,0.9999,-1292802180,2.0,1.0,0.03,0.05,0.05,100.0
32,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.31,0.05,10.0,1.0,0.9999,-1292790497,2.0,1.0,0.03,0.05,0.05,100.0
39,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.38,0.05,10.0,1.0,0.9999,-1292777775,2.0,1.0,0.03,0.05,0.05,100.0
46,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.45,0.05,10.0,1.0,0.9999,-1292766381,2.0,1.0,0.03,0.05,0.05,100.0
53,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.52,0.05,10.0,1.0,0.9999,-1292753726,2.0,1.0,0.03,0.05,0.05,100.0
60,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.59,0.05,10.0,1.0,0.9999,-1292741241,2.0,1.0,0.03,0.05,0.05,100.0
67,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.66,0.05,10.0,1.0,0.9999,-1292729149,2.0,1.0,0.03,0.05,0.05,100.0
74,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.73,0.05,10.0,1.0,0.9999,-1292717544,2.0,1.0,0.03,0.05,0.05,100.0
81,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.8,0.05,10.0,1.0,0.9999,-1292705754,2.0,1.0,0.03,0.05,0.05,100.0
88,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.87,0.05,10.0,1.0,0.9999,-1292693860,2.0,1.0,0.03,0.05,0.05,100.0
95,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.94,0.05,10.0,1.0,0.9999,-1292681687,2.0,1.0,0.03,0.05,0.05,100.0
3,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.02,0.05,10.0,1.0,0.9999,-1292840618,2.0,1.0,0.03,0.05,0.05,100.0
10,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.09,0.05,10.0,1.0,0.9999,-1292825506,2.0,1.0,0.03,0.05,0.05,100.0
17,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.16,0.05,10.0,1.0,0.9999,-1292813665,2.0,1.0,0.03,0.05,0.05,100.0
24,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.23,0.05,10.0,1.0,0.9999,-1292802429,2.0,1.0,0.03,0.05,0.05,100.0
