"run","MaxPop","MinPop","countPop"
7,1603,290,317
14,1554,283,575
21,1703,270,509
28,1471,320,992
35,1758,265,676
42,1593,309,909
49,1595,284,823
56,1825,271,693
63,1676,300,857
70,1851,251,635
77,1617,336,846
84,1572,315,936
91,1566,277,890
98,1863,295,664
6,1588,260,342
13,1729,296,452
20,1683,242,479
27,1801,265,479
34,1643,307,791
41,1682,273,767
48,1485,302,900
55,1674,328,817
62,1514,289,901
69,1713,267,742
76,1628,283,931
83,1653,315,946
90,1921,267,609
97,1645,261,849
5,1566,263,279
12,1670,229,333
19,1526,293,721
26,1636,288,655
33,1474,295,968
40,1671,319,882
47,1465,320,1016
54,1632,312,953
61,1648,272,827
68,1546,275,959
75,1459,311,1112
82,1589,313,929
89,1760,288,749
96,1611,330,934
4,1612,289,318
11,1702,242,363
18,1806,226,382
25,1652,279,629
32,1564,293,840
39,1505,300,884
46,1592,326,898
53,1516,309,945
60,1469,310,960
67,1549,322,993
74,1930,242,604
81,1612,331,937
88,1671,293,934
95,1780,273,656
3,1866,225,234
10,1954,204,259
17,1741,257,481
24,1699,284,521
31,1714,267,571
38,1482,311,957
45,1726,265,659
52,1597,318,959
59,1576,308,956
66,1666,310,806
73,1544,284,926
80,1560,261,851
87,1776,310,742
94,1657,309,881
101,1770,273,691
2,1490,280,406
9,1686,278,391
16,1713,276,487
23,1684,308,614
30,1751,299,609
37,1717,270,706
44,1726,265,725
51,1948,268,567
58,1740,275,757
65,1656,297,830
72,1889,263,602
79,1758,318,805
86,1675,277,793
93,1512,300,982
100,1662,294,853
1,1004,231,323
8,1666,291,354
15,1397,303,634
22,1624,320,608
29,1798,250,482
36,1745,298,748
43,1487,277,1009
50,1668,309,848
57,1805,282,630
64,1545,320,979
71,1813,263,613
78,1659,287,848
85,1712,312,877
92,1739,260,707
99,1919,263,637
