"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
7,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,3.0E-4,0.7,3.33E-4,2.0,1692667781,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
14,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,6.5E-4,0.7,3.33E-4,2.0,1692675430,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
21,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.001,0.7,3.33E-4,2.0,1692680973,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
28,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.00135,0.7,3.33E-4,2.0,1692686675,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
35,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0017,0.7,3.33E-4,2.0,1692692343,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
42,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.00205,0.7,3.33E-4,2.0,1692698129,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
49,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0024,0.7,3.33E-4,2.0,1692704032,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
56,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.00275,0.7,3.33E-4,2.0,1692709607,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
63,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0031,0.7,3.33E-4,2.0,1692715744,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
70,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.00345,0.7,3.33E-4,2.0,1692721556,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
77,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0038,0.7,3.33E-4,2.0,1692727799,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
84,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.00415,0.7,3.33E-4,2.0,1692733287,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
91,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0045,0.7,3.33E-4,2.0,1692738962,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
