"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
7,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.06,3.33E-4,2.0,1680920371,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
14,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.13,3.33E-4,2.0,1680948064,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
21,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.2,3.33E-4,2.0,1680979431,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
28,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.27,3.33E-4,2.0,1681000872,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
35,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.34,3.33E-4,2.0,1681030999,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
42,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.41,3.33E-4,2.0,1681059964,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
49,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.48,3.33E-4,2.0,1681087153,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
56,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.55,3.33E-4,2.0,1681130634,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
63,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.62,3.33E-4,2.0,1681166070,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
70,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.69,3.33E-4,2.0,1681197990,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1,0.05,100.0
