"run","MaxPop","MinPop","countPop"
7,1992,1909,1978
14,1806,1316,1430
21,1567,1148,1390
28,1713,889,1007
35,1693,850,982
42,1510,690,833
49,1763,656,761
56,1638,520,615
63,1892,416,464
70,1587,460,703
77,1855,497,594
84,1331,478,834
91,1753,427,562
6,2114,2063,2066
13,1758,1459,1574
20,1785,1139,1221
27,1716,889,1006
34,1890,703,763
41,1605,684,759
48,1566,629,772
55,1707,476,575
62,1574,551,666
69,1728,487,618
76,1656,487,605
83,1639,426,509
90,1641,430,592
5,1973,1943,1939
12,1708,1708,1730
19,1658,1126,1274
26,1516,980,1245
33,1628,853,1040
40,1652,721,798
47,1787,609,656
54,1587,512,643
61,1712,499,666
68,1273,582,958
75,1667,463,579
82,1577,430,654
89,1766,371,479
4,2223,2203,2219
11,1866,1795,1823
18,1756,1184,1220
25,1936,948,990
32,1673,803,954
39,1648,807,936
46,1670,641,760
53,1691,618,740
60,1813,500,549
67,1471,489,658
74,1642,482,520
81,1743,420,508
88,1794,461,519
3,2319,2311,2294
10,1833,1605,1713
17,1766,1333,1430
24,1757,953,1022
31,1716,718,773
38,1713,737,822
45,1840,539,574
52,1573,620,759
59,1827,513,524
66,1457,455,736
73,1481,494,712
80,1654,452,550
87,1638,388,427
2,2214,2021,2033
9,1849,1794,1809
16,1607,1238,1467
23,1634,1059,1215
30,1512,881,1166
37,1690,748,874
44,1636,759,877
51,1640,662,854
58,1657,551,611
65,1630,531,697
72,1516,474,575
79,1573,512,677
86,1703,403,502
1,2318,2285,2296
8,1895,1675,1692
15,1683,1305,1581
22,1674,1033,1181
29,1565,861,1055
36,1665,802,909
43,1894,714,738
50,1786,597,708
57,1480,595,962
64,1542,518,740
71,1676,480,554
78,1764,439,500
85,1781,383,475
