"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
7,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.6,10.0,5.0E-4,0.7,3.33E-4,2.0,1688130666,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
14,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,2.3,10.0,5.0E-4,0.7,3.33E-4,2.0,1688144639,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
21,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,3.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1688154400,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
28,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,3.7,10.0,5.0E-4,0.7,3.33E-4,2.0,1688161901,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
35,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,4.4,10.0,5.0E-4,0.7,3.33E-4,2.0,1688169538,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
42,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,5.1,10.0,5.0E-4,0.7,3.33E-4,2.0,1688176440,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
49,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,5.8,10.0,5.0E-4,0.7,3.33E-4,2.0,1688182623,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
56,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,6.5,10.0,5.0E-4,0.7,3.33E-4,2.0,1688189310,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
63,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,7.2,10.0,5.0E-4,0.7,3.33E-4,2.0,1688195621,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
70,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,7.9,10.0,5.0E-4,0.7,3.33E-4,2.0,1688202577,0.1,0.7,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
