"run","MaxPop","MinPop","countPop"
7,493,77,194
14,587,91,178
21,548,99,258
28,732,127,208
35,633,140,455
42,908,178,497
49,1080,162,459
56,1124,215,567
63,1562,217,398
70,1615,284,425
77,1925,316,345
84,1939,807,1125
91,1991,1948,1961
98,2119,1125,2104
6,432,97,142
13,513,69,168
20,549,77,168
27,497,115,284
34,772,130,378
41,866,144,277
48,1008,170,332
55,1034,209,548
62,1421,209,465
69,1519,283,503
76,1582,381,699
83,1650,710,1176
90,1902,1890,1908
97,2226,1141,2114
5,510,63,98
12,412,84,162
19,591,123,274
26,653,124,196
33,888,120,270
40,760,130,190
47,879,172,465
54,1160,198,554
61,1503,209,408
68,1678,221,352
75,1553,341,580
82,1430,653,1216
89,1954,906,1731
96,2096,2068,2076
4,360,60,104
11,497,82,218
18,569,93,166
25,540,132,213
32,651,140,271
39,805,155,308
46,1152,190,412
53,1014,197,610
60,1199,232,587
67,1613,248,395
74,1601,376,587
81,1962,573,626
88,1931,853,1703
95,2195,2169,2172
3,461,64,106
10,529,122,243
17,521,102,159
24,691,103,141
31,550,125,252
38,791,175,442
45,1068,161,310
52,1081,175,516
59,1212,228,532
66,1496,228,435
73,1838,273,375
80,1746,499,614
87,1819,1784,1796
94,2175,2153,2181
101,2265,2264,2258
2,527,96,108
9,465,101,182
16,544,93,158
23,619,134,282
30,695,130,166
37,921,139,300
44,817,149,391
51,1184,181,402
58,1214,208,565
65,1475,245,480
72,1454,340,560
79,1832,452,497
86,1797,823,1585
93,2143,2143,2136
100,2230,1146,2210
1,404,60,60
8,518,99,219
15,601,111,183
22,432,97,235
29,546,124,339
36,836,119,263
43,928,165,351
50,1092,180,412
57,1093,224,568
64,1502,241,460
71,1722,274,392
78,2057,330,357
85,1852,859,1590
92,2062,2029,2064
99,2110,2100,2091
