"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
7,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690822089,0.1,0.06,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
14,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690828687,0.1,0.13,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
21,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690832338,0.1,0.2,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
28,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690835942,0.1,0.27,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
35,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690839536,0.1,0.34,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
42,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690843191,0.1,0.41,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
49,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690847312,0.1,0.48,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
56,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690851657,0.1,0.55,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
63,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690856246,0.1,0.62,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
70,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690861313,0.1,0.69,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
77,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690866876,0.1,0.76,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
84,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690872965,0.1,0.83,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
91,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690880696,0.1,0.9,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
98,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690891304,0.1,0.97,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
6,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690822144,0.1,0.05,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
13,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690828062,0.1,0.12,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
20,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690831374,0.1,0.19,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
27,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690834550,0.1,0.26,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
34,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690837666,0.1,0.33,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
41,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690840654,0.1,0.4,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
48,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690844663,0.1,0.47,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
55,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690849038,0.1,0.54,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
62,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690853108,0.1,0.61,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
69,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690857719,0.1,0.68,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
76,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690863051,0.1,0.75,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
83,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690869125,0.1,0.82,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
90,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690875699,0.1,0.89,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
97,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690884806,0.1,0.96,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
5,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690822147,0.1,0.04,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
12,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690828320,0.1,0.11,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
19,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690831507,0.1,0.18,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
26,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690835153,0.1,0.25,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
33,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690838320,0.1,0.32,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
40,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690842262,0.1,0.39,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
47,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690845933,0.1,0.46,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
54,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690850204,0.1,0.53,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
61,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690854849,0.1,0.6,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
68,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690860436,0.1,0.67,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
75,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690865877,0.1,0.74,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
82,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690871624,0.1,0.81,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
89,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690878075,0.1,0.88,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
96,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690887957,0.1,0.95,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
4,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690823252,0.1,0.03,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
11,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690828658,0.1,0.1,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
18,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690832143,0.1,0.17,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
25,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1690835259,0.1,0.24,2.0,0.03,2.0,0.2,0.05,1.0,0.05,100.0
