"run","disturbance","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
7,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.0,680139888,2.0,1.0,0.03,0.05,0.05,100.0
14,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.19,680151921,2.0,1.0,0.03,0.05,0.05,100.0
21,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.38,680162378,2.0,1.0,0.03,0.05,0.05,100.0
28,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.57,680172227,2.0,1.0,0.03,0.05,0.05,100.0
35,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.76,680182924,2.0,1.0,0.03,0.05,0.05,100.0
42,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.95,680193267,2.0,1.0,0.03,0.05,0.05,100.0
49,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.0,680204154,2.0,1.0,0.03,0.05,0.05,100.0
56,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,18.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.19,680212576,2.0,1.0,0.03,0.05,0.05,100.0
63,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,18.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.38,680222143,2.0,1.0,0.03,0.05,0.05,100.0
70,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,18.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.57,680232390,2.0,1.0,0.03,0.05,0.05,100.0
77,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,24.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.76,680243277,2.0,1.0,0.03,0.05,0.05,100.0
84,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,24.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.95,680253763,2.0,1.0,0.03,0.05,0.05,100.0
91,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,30.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.0,680264804,2.0,1.0,0.03,0.05,0.05,100.0
98,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,30.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.19,680272672,2.0,1.0,0.03,0.05,0.05,100.0
105,0.0,80,1.0,0.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,30.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.38,680282277,2.0,1.0,0.03,0.05,0.05,100.0
112,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.57,680292266,2.0,1.0,0.03,0.05,0.05,100.0
119,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.76,680303760,2.0,1.0,0.03,0.05,0.05,100.0
126,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.95,680315500,2.0,1.0,0.03,0.05,0.05,100.0
133,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.0,680325878,2.0,1.0,0.03,0.05,0.05,100.0
140,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.19,680334162,2.0,1.0,0.03,0.05,0.05,100.0
147,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.38,680343364,2.0,1.0,0.03,0.05,0.05,100.0
154,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.57,680353736,2.0,1.0,0.03,0.05,0.05,100.0
161,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.76,680363889,2.0,1.0,0.03,0.05,0.05,100.0
168,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,18.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.95,680374499,2.0,1.0,0.03,0.05,0.05,100.0
175,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,18.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.0,680385655,2.0,1.0,0.03,0.05,0.05,100.0
182,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,24.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.19,680393276,2.0,1.0,0.03,0.05,0.05,100.0
189,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,24.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.38,680402375,2.0,1.0,0.03,0.05,0.05,100.0
196,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,24.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.57,680413325,2.0,1.0,0.03,0.05,0.05,100.0
203,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,30.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.76,680423927,2.0,1.0,0.03,0.05,0.05,100.0
210,0.0,80,1.0,0.2,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,30.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.95,680434817,2.0,1.0,0.03,0.05,0.05,100.0
217,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.0,680446285,2.0,1.0,0.03,0.05,0.05,100.0
224,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.19,680456358,2.0,1.0,0.03,0.05,0.05,100.0
231,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.38,680466320,2.0,1.0,0.03,0.05,0.05,100.0
238,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.57,680476970,2.0,1.0,0.03,0.05,0.05,100.0
245,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.76,680486855,2.0,1.0,0.03,0.05,0.05,100.0
252,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.95,680497576,2.0,1.0,0.03,0.05,0.05,100.0
259,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.0,680507825,2.0,1.0,0.03,0.05,0.05,100.0
266,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.19,680515391,2.0,1.0,0.03,0.05,0.05,100.0
273,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,18.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.38,680524766,2.0,1.0,0.03,0.05,0.05,100.0
280,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,18.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.57,680534475,2.0,1.0,0.03,0.05,0.05,100.0
287,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,18.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.76,680545267,2.0,1.0,0.03,0.05,0.05,100.0
294,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,24.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.95,680554852,2.0,1.0,0.03,0.05,0.05,100.0
301,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,24.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.0,680566899,2.0,1.0,0.03,0.05,0.05,100.0
308,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,30.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.19,680574377,2.0,1.0,0.03,0.05,0.05,100.0
315,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,30.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.38,680584705,2.0,1.0,0.03,0.05,0.05,100.0
322,0.0,80,1.0,0.4,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,30.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.57,680595458,2.0,1.0,0.03,0.05,0.05,100.0
329,0.0,80,1.0,0.6,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.76,680605941,2.0,1.0,0.03,0.05,0.05,100.0
336,0.0,80,1.0,0.6,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,0.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.95,680616873,2.0,1.0,0.03,0.05,0.05,100.0
343,0.0,80,1.0,0.6,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.0,680629095,2.0,1.0,0.03,0.05,0.05,100.0
350,0.0,80,1.0,0.6,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.19,680636559,2.0,1.0,0.03,0.05,0.05,100.0
357,0.0,80,1.0,0.6,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,6.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.38,680646296,2.0,1.0,0.03,0.05,0.05,100.0
364,0.0,80,1.0,0.6,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.57,680655877,2.0,1.0,0.03,0.05,0.05,100.0
371,0.0,80,1.0,0.6,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.76,680666205,2.0,1.0,0.03,0.05,0.05,100.0
378,0.0,80,1.0,0.6,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,12.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.95,680675747,2.0,1.0,0.03,0.05,0.05,100.0
