"run","MaxPop","MinPop","countPop"
7,1656,1619,1631
14,1772,1761,1753
21,1820,1777,1770
28,1908,4,1900
35,2061,5,2071
42,2228,2227,2229
49,1216,1206,1180
56,1746,1730,1731
63,1866,1828,1844
70,2067,4,2045
77,2240,2240,2225
84,2383,6,2329
91,1198,1164,1181
98,1791,1779,1776
105,1895,1895,1902
112,2114,2112,2101
119,2392,4,2378
126,2525,4,2152
133,1196,1132,1153
140,1716,1690,1707
147,1872,7,1806
154,1952,5,1929
161,2167,6,2134
168,2322,2303,2299
175,1193,1136,1170
182,1755,1700,1691
189,1869,1858,1872
196,2074,1,2062
203,2214,2204,2204
210,2385,4,2365
217,1638,1622,1627
224,1758,1722,1719
231,1950,1943,1949
238,1853,1833,1839
245,1925,6,1897
252,2121,5,2093
259,1152,1106,1131
266,1752,1703,1711
273,1857,1826,1856
280,1986,1962,1975
287,2177,5,2174
294,2285,7,2265
301,1162,1162,1162
308,1749,1715,1717
315,1885,1885,1871
322,2055,2035,2043
329,2389,3,2385
336,2485,6,2459
343,1177,1155,1134
350,1709,1670,1689
357,1787,1751,1757
364,1898,1846,1875
371,1988,1961,1967
378,2204,5,2057
385,1102,1021,1020
392,1752,1727,1744
399,1847,1810,1821
406,1967,1931,1928
413,2171,6,2131
420,2264,2257,2256
427,1086,1021,1024
434,1775,1775,1757
441,1923,7,1863
448,2203,4,2195
455,1865,1793,1804
462,1858,1805,1833
469,1032,963,967
476,1725,1691,1700
483,1817,1781,1807
490,1886,1850,1855
497,2000,1956,1947
504,2183,2181,2187
511,1056,899,904
518,1735,1729,1747
525,1799,1799,1797
532,1964,1905,1926
539,2136,2093,2087
546,2501,3,2495
553,1641,5,1617
560,1635,1603,1599
567,1575,4,1459
574,1668,6,1645
581,1660,6,1249
588,1671,3,1143
595,840,4,567
602,1652,2,1623
609,1685,4,1653
616,1743,3,1537
623,1806,1,1352
630,1969,4,1730
637,850,2,565
644,1675,4,1614
651,1921,1892,1910
658,2118,616,2118
665,2494,2494,2488
672,2045,2045,2047
679,1227,1142,1191
686,1770,1677,1708
693,1876,1830,1849
700,2057,1983,2029
707,2166,2128,2134
714,2357,623,2342
721,1179,1179,1164
728,1784,1732,1744
735,1910,1889,1910
742,2051,621,2037
749,2261,2226,2232
756,2513,2500,2504
763,1669,1669,1679
770,1756,1725,1746
777,1822,1799,1812
784,1907,1878,1867
791,2059,619,2011
798,2194,2154,2183
805,1196,1125,1148
812,1776,1735,1754
819,1863,1854,1847
826,2063,2018,2041
833,2171,634,2144
840,2373,2343,2339
847,1195,1118,1134
854,1786,1707,1732
861,1952,1906,1915
868,2157,2107,2119
875,2411,2382,2384
882,2530,2494,2502
889,1207,1147,1167
896,1757,1690,1718
903,1852,1793,1797
910,1966,1902,1923
917,2197,2117,2140
924,2250,2214,2220
931,1144,1062,1126
938,1752,1715,1738
945,1893,1817,1843
952,2076,2037,2038
959,2209,2123,2151
966,2356,2308,2335
973,1658,1626,1624
980,1789,1747,1742
987,1947,1903,1929
994,1857,1857,1846
1001,1932,1872,1880
1008,2098,623,2053
1015,1130,1046,1108
1022,1780,1712,1726
1029,1858,1790,1802
1036,1947,1874,1870
1043,2180,2118,2139
1050,2215,2172,2173
1057,1107,1001,1059
1064,1766,1701,1722
1071,1861,1785,1808
1078,2034,1985,1989
1085,2422,630,2406
1092,2508,2500,2499
1099,1110,1037,1102
1106,1705,1640,1688
1113,1782,1760,1766
1120,1842,1805,1822
1127,1893,1831,1863
1134,2106,2045,2085
1141,1014,451,956
1148,1726,1676,1692
1155,1813,1726,1764
1162,1868,1817,1837
1169,2062,616,2032
1176,2087,630,1975
1183,983,412,869
1190,1798,1758,1760
1197,1954,1900,1927
1204,2199,628,2175
1211,1578,509,1275
1218,1537,506,1284
1225,860,310,643
1232,1661,1610,1639
1239,1718,1634,1651
1246,1707,493,1381
1253,1739,433,1246
1260,1902,620,1741
1267,846,273,539
1274,1705,1694,1695
1281,1721,581,1633
1288,1788,556,1621
1295,1956,621,1701
1302,2509,2495,2498
1309,1664,1656,1635
1316,1737,1647,1664
1323,1846,1770,1797
1330,1959,1838,1932
1337,2122,2099,2106
1344,2285,2265,2269
1351,1220,1171,1176
1358,1787,1787,1779
1365,1909,1869,1889
1372,2030,1986,1974
1379,2233,2185,2198
1386,2478,2446,2462
1393,1210,1156,1187
1400,1752,1710,1717
1407,1955,1873,1907
1414,2160,2094,2096
1421,2487,2457,2467
1428,2031,1967,1992
1435,1253,1160,1174
1442,1787,1787,1788
1449,1841,1841,1819
1456,2047,1984,2025
1463,2159,2096,2138
1470,2305,2248,2276
1477,1208,1101,1177
1484,1769,1737,1731
1491,1917,1850,1852
1498,2033,1977,1985
1505,2237,2187,2205
1512,2486,2486,2480
1519,1668,1592,1599
1526,1782,1740,1738
1533,1812,1747,1766
1540,1891,1891,1886
1547,2089,1997,2025
1554,2145,2098,2141
1561,1167,1109,1140
1568,1745,1690,1715
1575,1876,1846,1845
1582,2060,1983,2012
1589,2146,2089,2128
1596,2348,1033,2340
1603,1146,1092,1092
1610,1756,1745,1730
1617,1909,1859,1866
1624,2151,2098,2117
1631,2440,2406,2422
1638,2531,2492,2496
1645,1170,1099,1157
1652,1735,1732,1736
1659,1836,1792,1817
1666,1914,1883,1899
1673,2126,2065,2087
1680,2192,2129,2169
1687,1096,1041,1044
1694,1748,1665,1730
1701,1870,1825,1835
1708,2052,2019,2009
1715,2114,2040,2019
1722,2264,2195,2222
1729,1687,1558,1604
1736,1797,1726,1725
1743,1986,1901,1919
1750,1858,1757,1783
1757,1849,1799,1810
1764,2004,1957,1967
1771,1030,584,976
1778,1720,1645,1669
1785,1791,1791,1789
1792,1880,1818,1820
1799,2044,1975,1993
1806,2018,1945,1956
1813,981,536,857
1820,1760,1628,1715
1827,1817,1772,1789
1834,1949,1926,1945
1841,2404,1029,2380
1848,2516,2481,2491
1855,902,446,778
1862,1626,874,1555
1869,1683,1670,1664
1876,1635,691,1299
1883,1673,646,1148
1890,1808,957,1671
1897,833,340,596
1904,1696,1652,1650
1911,1720,856,1604
1918,1745,839,1555
1925,1873,983,1691
1932,1922,569,1060
1939,823,347,561
1946,1781,1781,1783
1953,1920,1874,1906
1960,2207,2165,2195
1967,1974,1934,1949
1974,2081,2014,2047
1981,1233,1156,1187
1988,1763,1699,1704
1995,1891,1835,1873
2002,2015,2005,2003
2009,2213,2189,2190
2016,2445,2413,2415
2023,1209,1125,1151
2030,1772,1685,1708
2037,1931,1836,1866
2044,2052,2012,2034
2051,2346,2303,2306
2058,2520,2492,2510
2065,1673,1614,1637
2072,1755,1687,1732
2079,1800,1723,1741
2086,1945,1412,1916
2093,2099,2062,2073
2100,2232,2182,2188
2107,1187,1138,1177
