"run","MaxPop","MinPop","countPop"
7,242,3,91
14,601,3,162
21,966,1,257
28,1352,3,288
35,1597,2,406
42,1922,2,429
49,2227,4,558
56,2455,4,595
63,2500,3,619
70,2464,2,693
77,2522,2,747
84,2362,3,849
91,2291,1,927
98,2229,4,1049
105,2235,3,1024
112,2199,4,1151
119,2044,4,1102
126,2069,3,1205
133,2095,4,1177
140,1937,4,1183
147,1882,2,1225
154,1885,4,1285
161,1608,2,1209
168,1573,1,1240
175,1545,3,1296
182,1520,2,1329
189,1465,2,1195
196,1344,5,1122
203,1401,4,1187
210,1230,2,1123
217,1101,4,1023
224,1021,4,934
231,1049,6,1012
238,1009,4,975
245,1018,2,985
252,994,990,984
259,996,4,970
266,1026,1008,1015
273,987,3,896
280,987,916,952
287,1019,982,1000
6,207,3,79
13,575,3,162
20,884,3,255
27,1342,2,301
34,1646,2,367
41,1859,3,458
48,2149,2,550
55,2381,3,611
62,2499,2,622
69,2454,5,646
76,2438,5,690
83,2295,3,818
90,2262,2,860
97,2264,3,942
104,2236,2,1003
111,2138,2,1130
118,2044,2,1161
125,2026,1,1076
132,2103,4,1196
139,1973,1,1250
146,1876,3,1246
153,1860,3,1345
160,1693,3,1238
167,1574,4,1272
174,1553,7,1283
181,1557,3,1271
188,1456,2,1241
195,1354,2,1151
202,1309,4,1167
209,1289,2,1188
216,1047,4,1015
223,996,3,965
230,1041,3,1008
237,1021,3,937
244,1048,2,1014
251,986,2,944
258,976,964,966
265,962,4,885
272,964,925,929
279,1024,3,957
286,995,3,925
5,167,5,64
12,571,2,116
19,896,3,211
26,1199,3,286
33,1569,3,372
40,1795,2,442
47,2052,4,488
54,2386,1,593
61,2512,3,661
68,2440,3,705
75,2457,3,674
82,2324,6,812
89,2249,5,867
96,2216,5,910
103,2195,4,972
110,2213,4,1074
117,2093,3,1216
124,2045,3,1185
131,2074,3,1181
138,1971,3,1186
145,1902,3,1282
152,1897,4,1246
159,1695,3,1282
166,1557,2,1271
173,1542,3,1355
180,1594,5,1300
187,1490,3,1260
194,1387,3,1158
201,1312,3,1146
208,1259,3,1173
215,1218,2,1172
222,1022,919,931
229,1029,4,1004
236,1001,0,948
243,996,937,954
250,1003,4,957
257,1005,951,980
264,1013,3,966
271,976,927,973
278,1005,2,949
285,1007,3,966
4,126,3,67
11,482,4,120
18,768,1,230
25,1157,3,266
32,1543,2,362
39,1825,2,428
46,2042,3,500
53,2381,3,571
60,2533,2,635
67,2474,3,632
74,2480,1,702
81,2314,1,786
88,2345,2,957
95,2272,3,967
102,2242,2,971
109,2228,5,1042
116,2021,2,1159
123,2061,3,1122
130,2099,3,1142
137,1968,4,1166
144,1961,2,1279
151,1948,3,1288
158,1659,2,1257
165,1589,4,1320
172,1553,3,1321
179,1602,3,1302
186,1516,3,1335
193,1343,3,1185
200,1306,2,1118
207,1256,3,1141
214,1207,3,1137
221,1018,4,965
228,1048,2,940
235,987,3,950
242,1019,2,974
249,989,975,983
256,995,933,943
263,987,1,931
270,985,968,979
277,993,993,1014
284,996,936,952
3,64,1,45
10,452,3,106
17,727,1,180
24,1130,3,277
31,1426,4,334
38,1775,3,406
45,1964,4,422
52,2318,3,533
59,2428,3,639
66,2443,3,700
73,2447,3,729
80,2568,3,753
87,2342,4,896
94,2250,3,938
101,2188,2,956
108,2205,3,1080
115,2057,2,1136
122,2062,3,1118
129,2109,3,1189
136,1880,4,1194
143,2002,4,1211
150,1890,2,1267
157,1676,2,1243
164,1683,3,1218
171,1575,1,1241
178,1543,3,1250
185,1548,2,1299
192,1398,2,1235
199,1325,3,1102
206,1289,2,1132
213,1242,4,1176
220,1033,962,965
227,1033,982,984
234,1016,4,912
241,999,4,971
248,1033,3,968
255,995,2,952
262,983,5,933
269,974,6,905
276,1040,2,945
283,974,2,930
2,38,3,20
9,405,4,96
16,697,3,145
23,1027,2,272
30,1385,3,309
37,1685,1,394
44,2001,3,439
51,2313,3,647
58,2417,4,617
65,2500,3,600
72,2443,4,734
79,2524,2,745
86,2335,2,842
93,2274,1,982
100,2289,4,931
107,2200,3,1016
114,2176,3,1157
121,2122,1,1108
128,2170,2,1192
135,1949,1,1172
142,2002,4,1274
149,1865,3,1279
156,1890,2,1383
163,1636,4,1284
170,1570,3,1248
177,1558,3,1252
184,1528,2,1351
191,1415,5,1224
198,1336,2,1143
205,1235,2,1136
212,1197,4,1105
219,1029,1,986
226,1057,5,1000
233,1065,2,936
240,992,915,957
247,988,924,942
254,1012,3,976
261,993,993,987
268,987,4,953
275,979,2,950
282,1014,963,968
289,1015,1,959
1,17,2,8
8,363,3,92
15,635,3,205
22,1032,5,251
29,1398,1,307
36,1608,3,379
43,1907,4,417
50,2249,4,560
57,2388,4,656
64,2458,2,621
71,2474,3,641
78,2532,5,774
85,2335,3,843
92,2333,4,910
99,2222,2,939
106,2202,2,988
113,2156,4,1150
120,2070,3,1132
127,2096,3,1166
134,2120,3,1190
141,2037,3,1226
148,1893,2,1351
155,1908,2,1345
162,1610,2,1243
169,1536,6,1239
176,1570,4,1256
183,1554,2,1306
190,1406,1,1201
197,1388,5,1172
204,1329,3,1172
211,1236,2,1085
218,1054,3,1021
225,1051,3,972
232,1058,4,990
239,992,2,969
246,1021,3,973
253,979,928,961
260,1003,3,924
267,970,916,942
274,994,924,944
281,1004,949,982
288,989,919,931
