"run","MaxPop","MinPop","countPop"
7,2314,233,846
14,2383,312,798
21,2369,331,780
28,2340,469,829
35,2335,467,816
42,2335,553,819
49,2301,634,830
56,2332,717,804
63,2330,895,912
70,2335,778,806
77,2327,819,824
84,2348,781,789
91,2312,803,841
98,2316,783,838
6,2360,240,821
13,2323,307,915
20,2332,315,857
27,2343,362,827
34,2323,466,738
41,2298,570,821
48,2408,657,820
55,2342,742,832
62,2349,832,871
69,2395,795,820
76,2325,819,859
83,2341,786,806
90,2320,836,854
97,2342,890,899
5,2345,212,874
12,2349,239,771
19,2380,297,793
26,2383,336,751
33,2326,461,791
40,2332,518,817
47,2333,637,886
54,2355,669,823
61,2340,792,826
68,2328,899,927
75,2320,795,817
82,2336,937,935
89,2360,827,830
96,2329,794,810
4,2338,3,790
11,2313,237,820
18,2350,311,770
25,2328,392,873
32,2336,438,860
39,2293,537,819
46,2286,610,869
53,2324,662,861
60,2339,746,771
67,2324,815,838
74,2331,807,858
81,2384,814,848
88,2361,760,796
95,2326,844,855
3,2339,3,867
10,2350,243,852
17,2387,306,820
24,2309,390,861
31,2365,464,793
38,2353,504,806
45,2323,655,794
52,2316,739,814
59,2313,793,856
66,2366,753,775
73,2311,856,877
80,2334,803,826
87,2320,814,888
94,2361,773,806
101,2340,818,817
2,2376,2,830
9,2317,244,823
16,2325,294,742
23,2353,358,834
30,2311,463,802
37,2354,538,829
44,2357,605,825
51,2338,748,855
58,2312,766,808
65,2307,799,825
72,2356,823,865
79,2351,905,940
86,2310,796,782
93,2385,754,763
100,2343,796,822
1,2337,2,730
8,2339,238,809
15,2360,307,808
22,2313,365,808
29,2295,422,859
36,2350,534,855
43,2373,568,835
50,2371,596,807
57,2296,763,847
64,2320,857,914
71,2342,790,795
78,2389,803,822
85,2347,786,824
92,2332,816,810
99,2378,818,876
