"run","disturbance","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
7,0.06,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291579467,2.0,1.0,0.03,0.05,0.05,100.0
14,0.13,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291562895,2.0,1.0,0.03,0.05,0.05,100.0
21,0.2,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291549948,2.0,1.0,0.03,0.05,0.05,100.0
28,0.27,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291537311,2.0,1.0,0.03,0.05,0.05,100.0
35,0.34,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291524367,2.0,1.0,0.03,0.05,0.05,100.0
42,0.41,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291511552,2.0,1.0,0.03,0.05,0.05,100.0
49,0.48,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291498837,2.0,1.0,0.03,0.05,0.05,100.0
56,0.55,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291485168,2.0,1.0,0.03,0.05,0.05,100.0
63,0.62,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291472034,2.0,1.0,0.03,0.05,0.05,100.0
70,0.69,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291459048,2.0,1.0,0.03,0.05,0.05,100.0
77,0.76,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291446496,2.0,1.0,0.03,0.05,0.05,100.0
84,0.83,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1291433304,2.0,1.0,0.03,0.05,0.05,100.0
