"run","MaxPop","MinPop","countPop"
7,1574,700,939
14,1457,663,953
21,1464,688,1184
28,1710,753,815
35,1658,756,1064
42,1877,828,853
49,1724,773,1019
56,1782,803,1012
63,1826,827,1233
70,1935,866,1521
77,2034,895,1714
84,2023,1982,1997
91,2410,2343,2395
98,2415,2358,2402
6,1486,683,1026
13,1517,686,973
20,1692,681,771
27,1478,679,1201
34,1707,756,1224
41,1694,765,1163
48,1670,779,1273
55,1827,774,1038
62,1762,820,1261
69,1732,818,1624
76,1953,874,1664
83,2025,2025,2003
90,2298,2298,2286
97,2413,2413,2404
5,1592,724,919
12,1568,650,781
19,1656,674,706
26,1633,762,1066
33,1746,715,835
40,1658,755,1055
47,1632,746,1074
54,1679,741,1126
61,1993,875,1032
68,1625,1590,1601
75,1820,860,1743
82,1930,1930,1919
89,2090,2090,2084
96,2412,2386,2407
4,1643,682,767
11,1650,664,843
18,1505,678,1018
25,1632,724,923
32,1500,700,1162
39,1656,739,1060
46,1634,766,1126
53,1801,797,964
60,1787,804,1170
67,1768,813,1319
74,1908,890,1690
81,2142,951,1900
88,2252,2232,2245
95,2341,2341,2329
3,1625,630,663
10,1863,650,651
17,1836,597,603
24,1728,711,838
31,1649,749,1030
38,1783,773,1053
45,1709,789,1056
52,1756,777,1092
59,1829,818,1180
66,1653,806,1498
73,1821,1795,1801
80,1936,1936,1930
87,2079,2048,2060
94,2427,2424,2433
101,2448,2448,2446
2,1626,625,649
9,1667,655,667
16,1587,677,765
23,1769,651,664
30,1714,755,986
37,1754,750,940
44,1839,799,981
51,1859,785,949
58,1486,739,1287
65,1626,804,1464
72,1884,882,1675
79,1887,1887,1894
86,2149,2122,2144
93,2362,2353,2340
100,2466,2466,2480
1,1694,689,768
8,1677,672,821
15,1450,653,942
22,1674,737,853
29,1478,704,1078
36,1640,742,1185
43,1592,767,1269
50,1745,769,1163
57,1830,805,1048
64,1691,792,1290
71,1786,851,1699
78,1901,890,1698
85,2231,2211,2237
92,2329,2318,2337
99,2465,2422,2436
