"run","MaxPop","MinPop","countPop"
7,2171,2165,2156
14,2026,699,985
21,1733,453,739
28,1876,325,491
35,1765,274,477
42,1611,255,541
49,1919,217,312
56,1631,229,440
63,1512,184,432
70,1702,86,191
77,2062,113,165
84,1856,95,202
91,1876,77,155
6,2140,2090,2090
13,1986,723,1006
20,1752,469,641
27,1832,351,512
34,2059,214,244
41,1929,227,285
48,1550,233,565
55,1894,201,300
62,1976,128,169
69,1955,102,162
76,1624,107,240
83,1721,93,224
90,1639,72,183
5,2476,2408,2473
12,1780,777,1508
19,1861,449,581
26,1859,363,475
33,1769,281,450
40,1641,255,485
47,1877,207,299
54,1895,195,271
61,1853,176,234
68,1749,100,212
75,1662,95,189
82,1931,85,171
89,1884,84,183
4,2363,2329,2367
11,1956,853,1667
18,2031,500,583
25,1630,373,660
32,1929,270,394
39,2069,165,193
46,2011,178,248
53,1888,217,322
60,1822,154,276
67,1931,105,162
74,1737,103,191
81,2016,69,99
88,2132,93,150
3,2486,2454,2476
10,1982,948,1769
17,1924,560,727
24,1847,352,592
31,1987,247,330
38,1710,279,549
45,2159,159,189
52,1682,216,413
59,1928,176,232
66,1905,90,143
73,1940,104,202
80,1889,102,164
87,1821,94,202
2,2567,2538,2537
9,1979,1024,1940
16,1787,591,846
23,1648,417,706
30,1576,307,605
37,1779,257,417
44,1503,243,598
51,1821,183,274
58,1891,176,253
65,1949,120,188
72,1856,102,189
79,1887,96,169
86,2081,80,124
1,2475,2431,2459
8,2140,2105,2114
15,1970,660,981
22,1834,398,462
29,1866,280,366
36,1931,222,287
43,1879,219,282
50,1848,200,278
57,1760,219,334
64,1775,116,187
71,1572,106,207
78,2038,115,166
85,1523,78,249
