"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
7,1.6,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685154591,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
14,2.3,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685182005,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
21,3.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685205217,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
28,3.7,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685227850,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
35,4.4,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685248476,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
42,5.1,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685269492,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
49,5.8,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685293415,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
56,6.5,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685315592,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
63,7.2,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685334571,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
70,7.9,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685354188,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
77,8.6,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685371667,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
84,9.3,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685390849,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
91,10.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685410586,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
6,1.5,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685153313,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
13,2.2,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685171311,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
20,2.9,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685193974,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
27,3.6,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685217774,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
34,4.3,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685238215,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
41,5.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685259076,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
48,5.7,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685284115,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
55,6.4,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685307015,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
62,7.1,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685323762,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
69,7.8,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685347119,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
76,8.5,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685368445,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
83,9.2,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685388104,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
90,9.9,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685412052,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
5,1.4,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685153800,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
12,2.1,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685180563,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
19,2.8,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685202032,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
26,3.5,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685222893,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
33,4.2,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1685246857,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.0,0.05,100.0
