"run","MaxPop","MinPop","countPop"
7,1277,260,605
14,1608,319,566
21,1730,387,840
28,1950,411,809
35,1838,533,1141
42,1828,630,1494
49,1821,657,1643
56,1896,726,1735
63,1863,1863,1866
70,1882,732,1713
77,1978,743,1617
84,1935,1906,1911
91,2100,794,1703
98,1972,770,1797
6,1245,247,435
13,1749,263,367
20,1725,346,739
27,1920,408,837
34,1791,485,1085
41,1969,623,1224
48,1708,1687,1700
55,1816,700,1725
62,1904,725,1711
69,1838,740,1786
76,2037,770,1725
83,1843,1813,1841
90,1987,1970,1973
97,1849,747,1758
5,821,228,468
12,1432,327,697
19,1608,373,907
26,1797,368,848
33,1929,474,884
40,1684,590,1453
47,1825,638,1545
54,1845,703,1629
61,1961,704,1537
68,1929,754,1857
75,1953,765,1802
82,1916,1916,1922
89,2109,787,1639
96,1872,736,1839
4,932,131,179
11,1567,300,515
18,1759,313,607
25,1801,365,843
32,1749,538,1218
39,1863,608,1342
46,2029,686,1405
53,1806,1784,1797
60,2071,729,1554
67,2028,745,1676
74,1893,1893,1879
81,1870,740,1764
88,2078,778,1785
95,1733,1733,1720
3,574,38,45
10,1828,218,247
17,1803,321,546
24,1724,402,803
31,1767,518,1170
38,1872,610,1204
45,1827,621,1322
52,1842,709,1729
59,1936,1914,1909
66,1972,758,1820
73,2093,777,1697
80,1832,759,1751
87,2079,778,1620
94,1993,765,1742
101,1898,757,1808
2,97,8,12
9,1545,270,479
16,1516,351,692
23,1396,444,1319
30,1912,439,898
37,1705,559,1360
44,1920,682,1471
51,2050,746,1727
58,1848,1828,1853
65,1804,1804,1809
72,1988,771,1645
79,1946,1922,1935
86,1872,1825,1842
93,1811,728,1729
100,2000,768,1689
1,173,2,3
8,1844,191,228
15,1681,330,598
22,1656,389,945
29,1894,427,907
36,1854,577,1132
43,1896,643,1410
50,1768,676,1600
57,1813,697,1678
64,1873,1852,1841
71,1896,1882,1870
78,1976,770,1787
85,1923,759,1797
92,2128,798,1718
99,1877,755,1761
