"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityReck","fecundityRegen","trafficShortCoefficient","migrationDistanceThreshold"
7,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692897494,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.03,0.05,100.0
14,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692904933,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.065,0.05,100.0
21,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692911028,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.1,0.05,100.0
28,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692917441,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.135,0.05,100.0
35,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692924049,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.17,0.05,100.0
42,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692930858,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.205,0.05,100.0
49,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692938799,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.24,0.05,100.0
56,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692947306,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.275,0.05,100.0
63,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692956232,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.31,0.05,100.0
70,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692964960,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.345,0.05,100.0
77,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692974676,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.38,0.05,100.0
84,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692983954,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.415,0.05,100.0
91,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692992723,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.45,0.05,100.0
98,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693002210,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.485,0.05,100.0
6,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692900088,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.025,0.05,100.0
13,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692908830,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.06,0.05,100.0
20,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692914724,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.095,0.05,100.0
27,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692920683,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.13,0.05,100.0
