"run","MaxPop","MinPop","countPop"
7,1896,829,1325
14,1529,719,1314
21,2034,855,1233
28,1836,817,1305
35,1372,580,680
42,929,56,69
49,1421,512,518
56,1282,226,286
63,946,97,134
70,1293,148,159
77,1100,123,164
84,1059,56,99
91,978,169,176
6,1945,892,1533
13,1316,564,785
20,1983,841,1352
27,1939,869,1380
34,1335,395,403
41,1679,776,1502
48,1460,481,534
55,1211,297,295
62,900,85,103
69,1223,249,271
76,1060,173,202
83,887,122,137
90,923,146,144
5,2002,865,1414
12,1043,231,251
19,1965,854,1379
26,1741,749,1319
33,1114,339,364
40,1778,757,1229
47,1454,481,568
54,1189,201,229
61,1409,325,336
68,1179,170,165
75,1043,316,333
82,929,70,76
89,1031,132,142
4,2033,905,1535
11,1879,1842,1869
18,1712,1712,1704
25,1701,717,940
32,1029,83,94
39,1848,801,1053
46,1240,346,394
53,992,81,83
60,1382,359,424
67,1119,223,229
74,1064,102,132
81,1122,137,161
88,1061,115,125
3,1506,616,930
10,1752,1730,1726
17,1856,846,1467
24,1354,611,896
31,1991,885,1448
38,1598,731,1048
45,1322,226,259
52,981,31,49
59,1293,448,468
66,1206,162,161
73,950,74,91
80,1182,241,260
87,980,271,315
2,1104,201,216
9,1941,892,1597
16,2124,891,1282
23,1175,292,309
30,2152,910,1424
37,1489,666,1096
44,1227,190,204
51,1380,628,960
58,1227,299,311
65,1064,72,93
72,977,44,83
79,1160,182,187
86,929,133,159
1,1711,1711,1714
8,1972,892,1446
15,1802,811,1336
22,1052,149,155
29,2104,907,1311
36,1571,670,815
43,1137,159,179
50,1372,619,859
57,1334,144,171
64,1040,138,143
71,1176,331,346
78,1217,220,214
85,990,51,58
