"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
7,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683013365,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.6,0.05,100.0
14,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683036021,0.1,0.7,2.0,0.03,1.0,0.2,0.05,2.3,0.05,100.0
21,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683055335,0.1,0.7,2.0,0.03,1.0,0.2,0.05,3.0,0.05,100.0
28,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683074852,0.1,0.7,2.0,0.03,1.0,0.2,0.05,3.7,0.05,100.0
35,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683094807,0.1,0.7,2.0,0.03,1.0,0.2,0.05,4.4,0.05,100.0
42,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683120032,0.1,0.7,2.0,0.03,1.0,0.2,0.05,5.1,0.05,100.0
49,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683145502,0.1,0.7,2.0,0.03,1.0,0.2,0.05,5.8,0.05,100.0
56,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683163563,0.1,0.7,2.0,0.03,1.0,0.2,0.05,6.5,0.05,100.0
63,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683181599,0.1,0.7,2.0,0.03,1.0,0.2,0.05,7.2,0.05,100.0
70,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683199647,0.1,0.7,2.0,0.03,1.0,0.2,0.05,7.9,0.05,100.0
77,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683221064,0.1,0.7,2.0,0.03,1.0,0.2,0.05,8.6,0.05,100.0
84,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683243052,0.1,0.7,2.0,0.03,1.0,0.2,0.05,9.3,0.05,100.0
91,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683261728,0.1,0.7,2.0,0.03,1.0,0.2,0.05,10.0,0.05,100.0
6,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683011200,0.1,0.7,2.0,0.03,1.0,0.2,0.05,1.5,0.05,100.0
13,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683025971,0.1,0.7,2.0,0.03,1.0,0.2,0.05,2.2,0.05,100.0
20,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683042774,0.1,0.7,2.0,0.03,1.0,0.2,0.05,2.9,0.05,100.0
27,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683063627,0.1,0.7,2.0,0.03,1.0,0.2,0.05,3.6,0.05,100.0
34,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683088769,0.1,0.7,2.0,0.03,1.0,0.2,0.05,4.3,0.05,100.0
41,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683108219,0.1,0.7,2.0,0.03,1.0,0.2,0.05,5.0,0.05,100.0
48,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683129147,0.1,0.7,2.0,0.03,1.0,0.2,0.05,5.7,0.05,100.0
55,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683148260,0.1,0.7,2.0,0.03,1.0,0.2,0.05,6.4,0.05,100.0
62,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1683165368,0.1,0.7,2.0,0.03,1.0,0.2,0.05,7.1,0.05,100.0
