"run","MaxPop","MinPop","countPop"
7,1496,557,748
14,1741,155,349
21,1727,133,259
28,1556,145,483
35,1483,116,416
42,1721,93,261
49,1616,76,355
56,1721,36,215
63,1770,12,160
70,1631,5,195
77,1602,4,198
84,1795,5,178
91,1672,3,109
6,1516,929,1403
13,1459,249,466
20,1642,153,404
27,1627,119,289
34,1627,117,320
41,1746,67,263
48,1575,76,343
55,1507,48,350
62,1602,13,197
69,1534,7,158
76,1912,2,99
83,1811,4,135
90,1607,1,180
5,1659,1659,1644
12,1649,265,451
19,1539,177,427
26,1663,147,312
33,1547,104,458
40,1599,90,348
47,1651,72,254
54,1627,54,229
61,1728,17,208
68,1497,5,274
75,1603,4,172
82,1689,6,175
89,1755,3,137
4,2147,2081,2080
11,1755,245,355
18,1567,166,409
25,1744,121,250
32,1625,107,373
39,1432,103,475
46,1520,86,333
53,1705,50,303
60,1687,31,273
67,1783,8,130
74,1730,6,177
81,1667,2,221
88,1506,3,148
3,2222,2163,2166
10,1627,278,403
17,1716,162,328
24,1776,119,251
31,1464,141,509
38,1673,80,294
45,1602,76,347
52,1604,57,249
59,1742,31,252
66,1612,8,142
73,1599,7,213
80,1605,3,205
87,1780,1,225
2,2290,2290,2282
9,1560,385,628
16,1551,232,491
23,1665,133,328
30,1476,146,422
37,1642,99,361
44,1476,98,490
51,1634,81,272
58,1786,31,208
65,1588,14,248
72,1720,5,120
79,1586,5,173
86,1593,11,254
1,2297,2069,2072
8,1536,480,601
15,1835,183,265
22,1796,133,237
29,1500,140,471
36,1843,77,232
43,1491,110,448
50,1443,84,468
57,1762,33,228
64,1602,10,260
71,1737,2,100
78,1695,5,203
85,1343,5,242
