"run","MaxPop","MinPop","countPop"
7,1484,430,472
14,1831,485,499
21,2016,643,682
28,2104,725,800
35,2122,739,758
42,2146,790,1031
49,2243,846,1121
56,2185,852,1259
63,2068,840,1582
70,2089,830,1403
77,1929,831,1566
84,2056,861,1475
91,2090,888,1517
98,2009,879,1441
105,1898,896,1818
112,1743,809,1616
119,1924,1901,1954
126,1941,1923,1914
133,2184,2184,2164
140,2134,2134,2131
147,2080,2080,2056
154,1993,1979,1995
161,2029,2014,2028
168,2043,2043,2036
175,1999,1989,1995
182,1961,1961,1972
189,1953,1953,1951
196,1854,1854,1870
6,1396,374,397
13,1759,395,410
20,2000,688,706
27,2096,656,678
34,2174,725,764
41,2216,789,999
48,2325,846,1103
55,2195,836,1321
62,2005,808,1324
69,2103,831,1340
76,1968,851,1617
83,2118,890,1499
90,1879,1853,1830
97,2129,912,1494
104,1945,838,1469
111,1902,891,1604
118,1794,1769,1792
125,1923,1923,1920
132,2019,2007,1993
139,2084,2062,2071
146,2073,2044,2068
153,1990,1985,2004
160,1996,1972,1989
167,1884,1862,1886
174,1961,1961,1963
181,1964,1958,1949
188,1912,1885,1892
195,1782,1759,1767
5,1473,298,304
12,1681,391,404
19,1952,707,732
26,2112,679,713
33,2158,710,779
40,2086,791,955
47,2199,770,892
54,2332,848,1235
61,2080,853,1300
68,2050,867,1411
75,2019,808,1191
82,2210,884,1319
89,1927,854,1574
96,1914,848,1512
103,2032,857,1344
110,1927,884,1795
117,1816,1795,1792
124,1951,1916,1951
131,1845,1819,1824
138,2056,2049,2056
145,1929,1894,1905
152,1935,1914,1941
159,1959,1959,1970
166,1997,1997,1981
173,1934,1934,1952
180,1986,1986,1993
187,1968,1957,1956
194,1773,1773,1781
201,1869,1867,1873
4,1471,428,456
11,1688,458,480
18,1928,527,549
25,2113,730,727
32,2099,749,864
39,2113,766,927
46,2293,817,1048
53,2261,834,1216
60,2205,850,1218
67,2074,827,1368
74,2035,850,1322
81,1985,863,1665
88,1855,827,1666
95,2088,904,1625
102,2050,880,1532
109,1866,853,1763
116,1730,1719,1739
123,1791,853,1689
130,1965,1947,1927
137,1956,1912,1912
144,2001,2001,2015
151,1942,1920,1933
158,1910,1910,1944
165,1987,1962,1970
172,1996,1996,1991
179,1911,1890,1924
186,1937,1927,1947
193,1857,1802,1805
200,1762,1762,1753
3,1408,362,383
10,1623,296,310
17,1800,623,675
24,2125,647,665
31,2123,754,765
38,2181,694,730
45,2163,789,1139
52,2063,811,1328
59,2124,812,1218
66,2079,851,1548
73,2175,887,1423
80,2073,840,1308
87,2049,841,1507
94,1920,842,1530
101,1918,845,1650
108,1785,828,1621
115,1934,889,1722
122,1860,1860,1863
129,2021,1975,1993
136,2117,2089,2117
143,2096,2096,2098
150,1952,1937,1945
157,2030,2028,2021
164,1957,1926,1960
171,1902,1886,1902
178,2001,2001,1979
185,1999,1999,1993
192,1746,1736,1737
199,1769,1743,1738
2,1371,317,320
9,1598,356,388
16,1776,436,451
23,2058,700,748
30,2182,742,789
37,2194,775,895
44,2179,820,1132
51,2235,859,1310
58,2239,843,1086
65,2118,850,1333
72,2056,842,1396
79,2058,854,1252
86,1942,816,1380
93,2220,927,1520
100,1693,787,1602
107,1711,784,1538
114,1807,1758,1785
121,1859,1851,1867
128,1869,1869,1884
135,2095,2090,2098
142,1979,1956,1949
149,2115,2109,2104
156,2029,2013,2024
163,1985,1978,1996
170,1992,1988,1998
177,1938,1934,1926
184,2050,2032,2063
191,1792,1792,1806
198,1894,1894,1907
1,1388,258,280
8,1564,453,492
15,1791,463,462
22,2058,550,588
29,2121,733,776
36,2151,776,849
43,2274,798,961
50,2342,858,1201
57,2234,855,1158
64,2054,814,1395
71,2036,811,1344
78,2028,846,1347
85,2059,849,1454
92,2082,874,1565
99,1935,868,1617
106,1923,884,1645
113,2013,885,1520
120,1909,881,1614
127,1843,877,1858
134,1953,1924,1935
141,1985,1962,1976
148,1898,1890,1891
155,1982,1982,1996
162,1996,1985,2005
169,1922,1922,1921
176,1809,1803,1807
183,1985,1972,1995
190,1834,1834,1834
197,1858,1858,1851
