"run","MaxPop","MinPop","countPop"
2,265,175,181
4,1039,902,943
6,1464,1376,1377
8,490,354,367
10,1439,1355,1415
12,1810,1719,1729
14,1231,857,926
16,1857,1715,1769
18,1937,1903,1900
20,1821,1645,1676
22,1963,1876,1897
24,1983,1903,1944
26,2040,1982,2003
28,2025,1911,1998
30,2016,1881,1964
32,2018,1906,1946
34,2037,1931,1940
36,2029,1948,1998
38,301,250,257
40,1128,988,1011
42,1464,1380,1386
44,579,458,461
46,1568,1409,1416
48,1836,1818,1812
50,1283,896,950
52,1878,1724,1760
54,1938,1839,1882
56,1805,1620,1661
58,1990,1884,1896
60,2006,1898,1918
62,2001,1910,1950
64,2019,1921,1983
66,2026,1947,1996
68,2040,1945,2003
70,2033,1902,1963
72,2035,1929,2013
74,354,272,329
76,1165,968,969
78,1612,1399,1436
80,676,521,549
82,1565,1324,1346
84,1849,1670,1677
86,1349,873,915
88,1908,1769,1824
90,1929,1809,1864
92,1859,1649,1668
94,2005,1878,1922
96,1979,1872,1930
98,2006,1916,1965
100,2056,1946,1936
102,2026,1928,1967
104,2030,1976,1987
106,2029,1983,2015
108,2030,1921,1971
110,443,401,397
112,1542,1130,1138
114,1797,1520,1536
116,905,813,821
118,1877,1661,1673
120,2010,1846,1843
122,1704,1103,1125
124,2031,1840,1826
126,2043,1921,1943
128,2024,1857,1886
130,2086,1972,1989
132,2064,1944,1963
134,2077,1979,2030
136,2086,1959,2001
138,2116,1985,2000
140,2077,1981,2004
142,2097,1999,2023
144,2106,1980,2030
146,809,789,789
148,2074,2066,2066
150,2182,2168,2187
152,1403,1403,1404
154,2202,2136,2152
156,2199,2199,2207
158,2066,2010,2025
160,2208,2174,2195
162,2213,2181,2177
164,2180,2137,2151
166,2234,2211,2206
168,2243,2183,2208
170,2245,2192,2215
172,2237,2175,2193
174,2246,2196,2218
176,2254,2239,2248
178,2254,2216,2225
180,2244,2239,2240
182,667,662,659
184,2080,2080,2074
186,2176,2172,2169
188,1341,1317,1327
190,2176,2144,2172
192,2222,2141,2195
194,2083,2027,2043
196,2229,2223,2215
198,2224,2167,2194
200,2225,2149,2181
202,2221,2186,2213
204,2238,2162,2170
206,2230,2183,2202
208,2266,2183,2205
210,2250,2213,2225
212,2254,2207,2212
214,2239,2216,2204
216,2234,2188,2187
218,612,595,596
220,2070,2061,2065
222,2152,2106,2126
224,1287,1270,1269
226,2150,2100,2123
228,2183,2183,2166
230,2029,2015,2029
232,2192,2175,2179
234,2212,2157,2187
236,2209,2158,2169
238,2228,2176,2187
240,2243,2166,2160
242,2204,2156,2207
244,2248,2165,2196
246,2237,2194,2226
248,2226,2177,2185
250,2227,2214,2222
252,2223,2179,2194
254,475,469,470
256,2036,2021,2023
258,2143,2092,2100
260,1150,1105,1121
262,2198,2141,2147
264,2198,2164,2176
266,2091,2059,2067
268,2201,2167,2169
270,2229,2186,2202
272,2205,2193,2203
274,2215,2190,2188
276,2237,2180,2203
278,2225,2194,2210
280,2245,2184,2207
282,2215,2209,2213
284,2239,2215,2249
286,2252,2184,2210
288,2245,2228,2234
290,675,659,672
292,2024,2005,1998
294,2179,2134,2164
296,1438,1392,1391
298,2175,2124,2149
300,2215,2171,2167
302,2062,2034,2053
304,2206,2163,2187
306,2200,2189,2196
308,2224,2211,2224
310,2215,2172,2200
312,2218,2164,2192
314,2242,2190,2243
316,2241,2216,2202
318,2246,2180,2209
320,2268,2188,2204
322,2246,2219,2211
324,2256,2185,2236
326,719,718,717
328,2114,2072,2086
330,2182,2168,2166
332,1428,1401,1433
334,2173,2144,2152
336,2206,2135,2175
338,2103,2103,2098
340,2201,2160,2181
342,2209,2209,2208
344,2201,2162,2191
346,2231,2222,2217
348,2243,2204,2210
350,2237,2193,2205
352,2223,2203,2205
354,2240,2209,2227
356,2245,2245,2233
358,2255,2197,2225
360,2254,2197,2217
362,720,720,721
364,2114,2078,2078
366,2210,2153,2160
368,1378,1341,1355
370,2168,2139,2171
372,2211,2134,2195
374,2149,2149,2145
376,2186,2176,2169
378,2235,2202,2194
380,2202,2150,2211
382,2238,2163,2220
384,2217,2205,2211
386,2243,2192,2206
388,2238,2204,2194
390,2238,2206,2198
392,2250,2167,2220
394,2265,2226,2224
396,2251,2218,2214
398,624,624,633
400,2084,2079,2062
402,2183,2137,2151
404,1372,1372,1365
406,2199,2199,2205
408,2204,2156,2194
410,2041,2004,2032
412,2144,2142,2143
414,2236,2182,2213
416,2218,2165,2210
418,2241,2213,2222
420,2264,2224,2219
422,2228,2202,2199
424,2245,2192,2203
426,2247,2181,2219
428,2249,2200,2208
430,2255,2181,2197
432,2254,2206,2217
434,428,401,421
436,2016,1996,2007
438,2167,2130,2144
440,1286,1286,1296
442,2136,2130,2125
444,2192,2147,2169
446,2006,1984,1991
448,2171,2146,2155
450,2218,2167,2175
452,2223,2171,2197
454,2234,2217,2214
456,2228,2209,2219
458,2238,2188,2196
460,2241,2196,2181
462,2255,2180,2190
464,2269,2218,2211
466,2242,2166,2211
468,2248,2181,2202
470,637,632,633
472,2068,2055,2066
474,2136,2093,2130
476,1270,1270,1273
478,2151,2111,2114
480,2200,2181,2185
482,2036,2004,2009
484,2184,2139,2170
486,2198,2198,2193
488,2214,2214,2204
490,2233,2185,2222
492,2220,2161,2188
494,2229,2206,2229
496,2233,2195,2209
498,2253,2206,2210
500,2244,2244,2233
502,2217,2166,2194
504,2239,2175,2225
506,536,536,540
508,2086,2078,2096
510,2186,2131,2136
512,1396,1396,1388
514,2195,2136,2144
516,2219,2141,2169
518,2063,2025,2046
520,2197,2197,2193
522,2224,2187,2196
524,2207,2207,2208
526,2238,2177,2199
528,2220,2184,2199
530,2218,2158,2208
532,2210,2153,2197
534,2246,2185,2217
536,2257,2195,2223
538,2244,2186,2220
540,2263,2197,2242
542,631,629,634
544,2050,2027,2032
546,2152,2107,2134
548,1313,1292,1307
550,2174,2147,2148
552,2188,2137,2188
554,2082,2045,2091
556,2213,2167,2186
558,2212,2172,2178
560,2212,2198,2200
562,2247,2176,2220
564,2237,2199,2205
566,2258,2236,2232
568,2257,2185,2215
570,2243,2217,2234
572,2255,2255,2246
574,2234,2218,2226
576,2240,2174,2205
578,712,693,700
580,2057,2057,2062
582,2187,2159,2154
584,1495,1495,1493
586,2191,2131,2169
588,2225,2180,2190
590,2136,2120,2129
592,2211,2192,2191
594,2234,2186,2210
596,2224,2186,2185
598,2249,2187,2221
600,2232,2188,2214
602,2248,2213,2210
604,2243,2192,2207
606,2247,2208,2214
608,2258,2180,2236
610,2246,2210,2208
612,2255,2201,2238
614,727,727,728
616,1964,1964,1961
618,2168,2120,2141
620,1399,1397,1394
622,2186,2186,2177
624,2169,2146,2149
626,2064,2016,2027
628,2215,2180,2196
630,2236,2187,2199
632,2213,2164,2182
634,2253,2205,2222
636,2251,2175,2199
638,2256,2180,2199
640,2254,2201,2209
642,2259,2200,2221
644,2239,2192,2218
646,2255,2205,2221
648,2248,2184,2217
650,508,489,504
652,2011,1990,1990
654,2165,2120,2135
656,1163,1163,1159
658,2179,2156,2166
660,2182,2174,2191
662,2047,2012,2024
664,2226,2174,2203
666,2225,2166,2219
668,2206,2204,2189
670,2236,2193,2209
672,2242,2200,2205
674,2237,2206,2231
676,2235,2197,2212
678,2219,2172,2186
680,2209,2156,2162
682,2236,2193,2185
684,2218,2193,2212
686,527,521,522
688,2006,2006,2021
690,2158,2130,2133
692,1208,1208,1208
694,2176,2176,2188
696,2184,2139,2166
698,1956,1919,1915
700,2226,2177,2183
702,2202,2148,2173
704,2216,2165,2207
706,2226,2188,2186
708,2196,2187,2183
710,2267,2173,2190
712,2241,2214,2225
714,2228,2194,2214
716,2248,2230,2245
718,2262,2178,2242
720,2247,2218,2224
722,652,628,626
724,2052,2019,2032
726,2165,2165,2166
728,1274,1227,1265
730,2189,2118,2152
732,2181,2146,2165
734,2089,2017,2052
736,2221,2184,2209
738,2197,2178,2178
740,2194,2152,2192
742,2240,2197,2205
744,2241,2191,2212
746,2260,2217,2215
748,2256,2218,2227
750,2240,2195,2183
752,2237,2237,2214
754,2230,2175,2204
756,2246,2186,2212
758,636,636,643
760,2059,2059,2049
762,2170,2170,2169
764,1393,1372,1379
766,2215,2173,2172
768,2241,2235,2212
770,2066,2023,2037
772,2205,2205,2211
774,2199,2199,2211
776,2198,2146,2155
778,2228,2202,2215
780,2262,2215,2212
782,2252,2206,2217
784,2259,2194,2240
786,2245,2236,2236
788,2258,2198,2243
790,2249,2182,2229
792,2256,2209,2201
794,684,647,680
796,2023,2002,2020
798,2178,2140,2132
800,1376,1373,1371
802,2166,2158,2164
804,2231,2208,2201
806,2055,2002,2043
808,2197,2167,2210
810,2247,2172,2181
812,2212,2161,2194
814,2234,2226,2233
816,2246,2246,2253
818,2268,2252,2251
820,2239,2177,2214
822,2250,2239,2239
824,2266,2221,2195
826,2259,2218,2231
828,2253,2180,2262
830,805,799,790
832,1932,1932,1946
834,2199,2165,2169
836,1377,1336,1348
838,2178,2144,2155
840,2198,2182,2178
842,2103,2090,2087
844,2206,2202,2207
846,2220,2160,2183
848,2222,2163,2208
850,2247,2208,2199
852,2227,2182,2197
854,2248,2177,2192
856,2247,2204,2229
858,2261,2203,2224
860,2257,2204,2237
862,2242,2189,2222
864,2259,2204,2243
866,475,475,477
868,1939,1935,1948
870,2156,2110,2124
872,1263,1254,1255
874,2196,2165,2191
876,2186,2154,2162
878,2038,1999,2038
880,2212,2167,2199
882,2188,2168,2180
884,2213,2157,2211
886,2236,2221,2204
888,2249,2170,2196
890,2212,2171,2203
892,2218,2148,2210
894,2228,2164,2187
896,2245,2232,2225
898,2247,2179,2221
900,2236,2199,2202
902,581,581,585
904,2014,2005,2017
906,2100,2066,2086
908,1238,1233,1251
910,2144,2127,2135
912,2189,2156,2165
914,2086,2056,2075
916,2090,2090,2088
918,2251,2208,2206
920,2228,2186,2208
922,2211,2193,2182
924,2218,2208,2204
926,2224,2215,2229
928,2241,2213,2212
930,2233,2192,2226
932,2237,2172,2215
934,2228,2164,2224
936,2262,2198,2210
938,595,595,599
940,2001,1980,1987
942,2163,2115,2152
944,1324,1310,1316
946,2132,2127,2132
948,2190,2167,2185
950,2060,2029,2035
952,2214,2199,2196
954,2183,2139,2158
956,2132,2089,2130
958,2218,2178,2169
960,2231,2162,2197
962,2242,2203,2215
964,2247,2224,2234
966,2247,2190,2214
968,2254,2192,2219
970,2245,2180,2220
972,2247,2207,2215
974,643,643,644
976,2027,2008,2026
978,2196,2146,2173
980,1411,1411,1406
982,2192,2152,2157
984,2202,2202,2202
986,2091,2089,2091
988,2224,2172,2198
990,2208,2155,2187
992,2206,2161,2173
994,2216,2156,2184
996,2254,2254,2231
998,2227,2187,2220
1000,2271,2233,2240
1002,2263,2193,2238
1004,2258,2188,2247
1006,2263,2191,2206
1008,2248,2178,2207
1010,737,737,738
1012,2066,2059,2057
1014,2192,2192,2198
1016,1474,1472,1474
1018,2163,2122,2143
1020,2197,2163,2175
1022,2089,2058,2057
1024,2234,2185,2209
1026,2219,2204,2196
1028,2201,2147,2174
1030,2234,2205,2208
1032,2225,2193,2206
1034,2214,2162,2203
1036,2250,2197,2228
1038,2258,2204,2211
1040,2282,2201,2215
1042,2252,2199,2199
1044,2260,2209,2216
1046,648,641,646
1048,1954,1946,1957
1050,2173,2135,2148
1052,1341,1320,1340
1054,2224,2179,2199
1056,2177,2130,2188
1058,2085,2051,2078
1060,2221,2185,2181
1062,2214,2167,2199
1064,2224,2176,2196
1066,2243,2202,2204
1068,2239,2160,2208
1070,2245,2190,2210
1072,2258,2224,2238
1074,2263,2222,2242
1076,2252,2203,2232
1078,2257,2211,2220
1080,2259,2208,2238
1082,461,461,465
1084,1848,1848,1849
1086,2123,2100,2108
1088,1221,1221,1226
1090,2158,2107,2134
1092,2162,2127,2147
1094,1994,1991,1988
1096,2196,2158,2164
1098,2196,2196,2198
1100,2235,2182,2232
1102,2230,2191,2213
1104,2220,2184,2208
1106,2217,2179,2193
1108,2248,2180,2207
1110,2224,2164,2195
1112,2235,2181,2189
1114,2236,2165,2178
1116,2231,2175,2214
1118,562,562,561
