"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
7,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-155566609,0.2,0.2,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
14,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-155559247,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
21,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-155548771,0.2,0.6,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
28,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-155531446,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
35,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-155513643,0.2,1.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
42,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-155495631,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
49,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-155482823,0.2,0.4,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
56,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-155477851,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
63,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-155462569,0.2,0.8,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
70,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-155445237,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
77,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-155426925,0.2,0.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
84,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-155415086,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
91,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-155400479,0.2,0.6,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
98,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-155395303,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
