"run","MaxPop","MinPop","countPop"
8,733,546,576
16,2011,1928,1956
24,2035,2035,2033
32,2049,1978,1993
40,1452,1394,1421
48,1961,1900,1896
56,2019,1926,1946
64,2054,1993,2024
72,2048,1998,2030
80,859,666,764
88,1990,1977,1975
96,2025,1956,1985
104,2069,2007,2042
112,1860,1860,1859
120,2041,1920,1948
128,2048,1961,1990
136,2110,2017,2043
144,2115,2032,2064
152,1590,1580,1585
160,2171,2171,2162
168,2181,2115,2160
176,2195,2152,2180
184,1964,1953,1968
192,2154,2154,2170
200,2158,2111,2136
208,2177,2148,2164
216,2203,2149,2163
224,1496,1484,1481
232,2160,2131,2149
240,2164,2141,2146
248,2180,2141,2155
256,1872,1862,1865
264,2127,2106,2107
272,2162,2126,2129
280,2179,2167,2166
288,2178,2153,2169
296,1492,1492,1510
304,2125,2079,2123
312,2145,2145,2126
320,2168,2138,2132
328,1951,1927,1935
336,2161,2145,2157
344,2193,2150,2184
352,2169,2150,2157
360,2190,2145,2175
368,1573,1562,1570
376,2145,2118,2128
384,2185,2159,2172
392,2200,2156,2190
400,2001,2001,1996
408,2176,2138,2143
416,2165,2119,2131
424,2196,2140,2163
432,2194,2170,2184
440,1224,1224,1218
448,2134,2134,2120
456,2165,2142,2144
464,2191,2188,2185
472,1955,1955,1951
480,2157,2135,2145
488,2153,2101,2145
496,2183,2120,2159
504,2188,2151,2153
512,1345,1339,1340
520,2167,2147,2143
528,2187,2165,2167
536,2161,2150,2155
544,1992,1992,1986
552,2157,2116,2126
560,2165,2113,2144
568,2188,2188,2180
576,2209,2155,2155
584,1551,1551,1555
592,2145,2125,2133
600,2195,2145,2159
608,2198,2198,2190
616,2078,2058,2049
624,2153,2135,2151
632,2169,2144,2137
640,2189,2160,2153
648,2208,2179,2191
656,1330,1330,1337
664,2156,2143,2144
672,2161,2129,2152
680,2151,2127,2130
688,1949,1936,1939
696,2131,2127,2121
704,2100,2070,2101
712,2174,2174,2160
720,2176,2161,2162
728,1481,1481,1476
736,2160,2145,2148
744,2073,2070,2086
752,2186,2160,2161
760,1951,1951,1946
768,2174,2167,2170
776,2186,2161,2168
784,2178,2153,2156
792,2188,2167,2182
800,1558,1558,1554
808,2149,2120,2135
816,2159,2137,2151
824,2183,2183,2181
832,2031,2019,2033
840,2205,2147,2162
848,2189,2147,2196
856,2195,2177,2184
864,2199,2162,2181
872,1446,1425,1453
880,2095,2080,2071
888,2147,2125,2153
896,2177,2154,2159
904,1869,1869,1872
912,2118,2110,2115
920,2025,2016,2020
928,2199,2163,2169
936,2191,2171,2171
944,1485,1485,1496
952,2131,2131,2122
960,2172,2172,2182
968,2181,2160,2169
976,1985,1985,1978
984,2141,2127,2134
992,2128,2095,2128
1000,2215,2174,2177
1008,2197,2165,2170
1016,1522,1522,1522
1024,2185,2151,2160
1032,2159,2144,2147
1040,2154,2134,2127
1048,1876,1872,1886
1056,2172,2151,2152
1064,2175,2165,2180
1072,2132,2132,2129
1080,2214,2172,2175
1088,1305,1305,1310
1096,2139,2113,2131
1104,2146,2109,2131
1112,2199,2166,2173
1120,1991,1991,2001
1128,2122,2085,2116
1136,2125,2118,2108
1144,2157,2146,2138
1152,2131,2124,2129
1160,1506,1506,1503
1168,2129,2112,2119
1176,2140,2133,2132
1184,2200,2161,2166
1192,1975,1975,1970
1200,2142,2133,2125
1208,2118,2118,2120
1216,2197,2197,2200
1224,2202,2168,2180
1232,1535,1528,1520
1240,2154,2124,2124
1248,2134,2125,2139
1256,2173,2156,2158
1264,2032,2011,2022
1272,2136,2136,2144
1280,2146,2120,2148
1288,2137,2105,2124
1296,2208,2176,2205
1304,743,49,156
1312,1921,213,1597
1320,2020,1962,1974
1328,2055,1978,2021
1336,1315,69,834
