"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
7,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-210814854,0.2,0.2,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
14,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-210808926,0.2,0.4,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
21,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-210798386,0.2,0.6,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
28,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-210784984,0.2,0.8,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
35,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.0,0.05,2.0,-210771848,0.2,1.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
42,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-210757564,0.2,0.0,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
49,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-210747680,0.2,0.4,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
56,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-210743404,0.2,0.6,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
63,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-210732015,0.2,0.8,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
70,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.2,0.05,2.0,-210718601,0.2,1.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
77,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-210704833,0.2,0.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
84,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-210694825,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
91,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-210682240,0.2,0.6,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
98,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-210676645,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
105,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.4,0.05,2.0,-210664816,0.2,1.0,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
112,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,-210651724,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
119,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,-210643198,0.2,0.2,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
126,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,-210631540,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
133,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,-210619577,0.2,0.8,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
140,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.6,0.05,2.0,-210611766,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
147,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,-210599448,0.2,0.0,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
154,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,-210591281,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
161,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,-210581195,0.2,0.4,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
168,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,-210570925,0.2,0.6,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
175,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,0.8,0.05,2.0,-210559286,0.2,1.0,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
182,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,-210547308,0.2,0.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
189,1.0,0.0,150,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.0,1.0,0.05,2.0,-210542353,0.2,0.2,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
