"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
7,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899230466,0.1,0.0,2.0,0.03,2.0,0.2,0.1,1.0,0.05,100.0
14,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899223871,0.1,0.0,2.0,0.03,2.0,0.2,0.2,3.0,0.05,100.0
21,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899216480,0.1,0.0,2.0,0.03,2.0,0.2,0.3,5.0,0.05,100.0
28,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899207298,0.1,0.0,2.0,0.03,2.0,0.2,0.4,7.0,0.05,100.0
35,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899197788,0.1,0.0,2.0,0.03,2.0,0.2,0.5,9.0,0.05,100.0
42,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899188830,0.1,0.2,2.0,0.03,2.0,0.2,0.0,11.0,0.05,100.0
49,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899185573,0.1,0.2,2.0,0.03,2.0,0.2,0.2,1.0,0.05,100.0
56,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899176643,0.1,0.2,2.0,0.03,2.0,0.2,0.3,3.0,0.05,100.0
63,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899166033,0.1,0.2,2.0,0.03,2.0,0.2,0.4,5.0,0.05,100.0
70,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899156029,0.1,0.2,2.0,0.03,2.0,0.2,0.5,7.0,0.05,100.0
77,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899146244,0.1,0.4,2.0,0.03,2.0,0.2,0.0,9.0,0.05,100.0
84,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899142378,0.1,0.4,2.0,0.03,2.0,0.2,0.1,11.0,0.05,100.0
91,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899138297,0.1,0.4,2.0,0.03,2.0,0.2,0.3,1.0,0.05,100.0
98,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899128236,0.1,0.4,2.0,0.03,2.0,0.2,0.4,3.0,0.05,100.0
105,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899117017,0.1,0.4,2.0,0.03,2.0,0.2,0.5,5.0,0.05,100.0
112,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899106598,0.1,0.6,2.0,0.03,2.0,0.2,0.0,7.0,0.05,100.0
119,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899102934,0.1,0.6,2.0,0.03,2.0,0.2,0.1,9.0,0.05,100.0
126,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899097279,0.1,0.6,2.0,0.03,2.0,0.2,0.2,11.0,0.05,100.0
133,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899090180,0.1,0.6,2.0,0.03,2.0,0.2,0.4,1.0,0.05,100.0
140,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899079290,0.1,0.6,2.0,0.03,2.0,0.2,0.5,3.0,0.05,100.0
147,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899066760,0.1,0.8,2.0,0.03,2.0,0.2,0.0,5.0,0.05,100.0
154,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899063103,0.1,0.8,2.0,0.03,2.0,0.2,0.1,7.0,0.05,100.0
161,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899054172,0.1,0.8,2.0,0.03,2.0,0.2,0.2,9.0,0.05,100.0
168,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899045908,0.1,0.8,2.0,0.03,2.0,0.2,0.3,11.0,0.05,100.0
175,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899037158,0.1,0.8,2.0,0.03,2.0,0.2,0.5,1.0,0.05,100.0
182,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899026508,0.1,1.0,2.0,0.03,2.0,0.2,0.0,3.0,0.05,100.0
189,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899013652,0.1,1.0,2.0,0.03,2.0,0.2,0.1,5.0,0.05,100.0
196,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1899002163,0.1,1.0,2.0,0.03,2.0,0.2,0.2,7.0,0.05,100.0
203,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1898988986,0.1,1.0,2.0,0.03,2.0,0.2,0.3,9.0,0.05,100.0
210,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.0,3.33E-4,2.0,-1898975960,0.1,1.0,2.0,0.03,2.0,0.2,0.4,11.0,0.05,100.0
217,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898964303,0.1,0.0,2.0,0.03,2.0,0.2,0.0,1.0,0.05,100.0
224,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898960568,0.1,0.0,2.0,0.03,2.0,0.2,0.1,3.0,0.05,100.0
231,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898954799,0.1,0.0,2.0,0.03,2.0,0.2,0.2,5.0,0.05,100.0
238,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898948152,0.1,0.0,2.0,0.03,2.0,0.2,0.3,7.0,0.05,100.0
245,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898939281,0.1,0.0,2.0,0.03,2.0,0.2,0.4,9.0,0.05,100.0
252,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898932123,0.1,0.0,2.0,0.03,2.0,0.2,0.5,11.0,0.05,100.0
259,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898923802,0.1,0.2,2.0,0.03,2.0,0.2,0.1,1.0,0.05,100.0
266,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898917843,0.1,0.2,2.0,0.03,2.0,0.2,0.2,3.0,0.05,100.0
273,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898908327,0.1,0.2,2.0,0.03,2.0,0.2,0.3,5.0,0.05,100.0
280,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.003,0.2,3.33E-4,2.0,-1898899641,0.1,0.2,2.0,0.03,2.0,0.2,0.4,7.0,0.05,100.0
