"run","MaxPop","MinPop","countPop"
7,1125,1080,1088
14,1729,1690,1696
21,1918,1880,1896
28,1985,1973,1964
35,1831,1749,1833
42,53,3,5
49,1932,1911,1913
56,2103,2050,2059
63,2176,2132,2108
70,2181,2138,2141
77,41,3,4
84,767,254,263
91,2194,2151,2159
98,2209,2178,2175
105,2205,2181,2183
112,65,5,10
119,1031,424,464
126,1139,1034,1032
133,2237,2189,2202
140,2248,2223,2250
147,181,8,11
154,1713,1589,1644
161,1574,1447,1462
168,1504,1490,1484
175,2279,2230,2237
182,2252,2129,2156
189,2333,2273,2291
196,2361,2286,2316
203,2195,2039,2089
210,1956,1787,1800
217,55,25,36
224,1040,1028,1026
231,1714,1678,1695
238,1846,1827,1834
245,1675,1653,1643
252,1590,1370,1502
259,1311,1240,1296
266,1915,1884,1887
273,2102,2068,2092
280,2187,2159,2152
287,1983,1872,1863
294,48,4,9
301,2115,2115,2094
308,2181,2109,2151
315,2247,2181,2172
322,2245,2245,2247
329,98,3,5
336,916,430,516
343,2228,2187,2226
350,2249,2192,2222
357,2240,2219,2226
364,141,6,9
371,1206,951,1004
378,1251,1130,1247
385,2266,2250,2259
392,2289,2236,2259
399,1652,1267,1250
406,2316,2240,2248
413,2063,1947,2008
420,1829,1703,1786
427,2352,2252,2319
434,53,2,8
441,935,932,932
448,1305,1268,1288
455,1242,1074,1119
462,1413,1187,1187
469,58,26,30
476,1380,1378,1381
483,1858,1807,1849
490,2050,1994,1992
497,1847,1660,1732
504,1690,1540,1541
511,1738,1653,1704
518,2126,2116,2122
525,2194,2155,2168
532,2222,2159,2159
539,2028,1848,1927
546,74,8,15
553,2254,2197,2222
560,2244,2189,2213
567,2290,2208,2202
574,2247,2199,2204
581,189,2,8
588,976,686,775
595,2287,2243,2243
602,2317,2317,2305
609,2294,2257,2267
616,1347,569,566
623,1993,1817,1857
630,1760,1592,1664
637,2346,2266,2251
644,2335,2253,2305
651,45,2,1
658,507,438,453
665,978,774,795
672,1088,911,943
679,2168,2145,2158
686,61,3,5
693,1424,1424,1418
700,1652,1592,1606
707,1436,1229,1289
714,1473,1473,1430
721,84,47,54
728,1812,1780,1811
735,2055,2011,2028
742,2184,2148,2154
749,1816,1781,1793
756,1703,1556,1620
763,2069,1991,2035
770,2244,2213,2208
777,2269,2199,2229
784,2288,2206,2250
791,2036,1921,1953
798,154,4,15
805,2325,2260,2281
812,2282,2210,2223
819,2296,2251,2252
826,2309,2227,2219
833,1066,215,213
840,1588,1337,1414
847,2377,2292,2324
854,2355,2304,2304
861,2444,2380,2363
868,40,3,2
875,538,378,383
882,946,919,948
889,2423,2379,2390
896,2560,2545,2535
903,70,1,6
910,884,829,826
917,1294,1108,1261
924,1399,1186,1348
931,2638,2628,2635
938,83,3,7
945,2291,2246,2246
952,2318,2290,2293
959,1850,1850,1856
966,1738,1578,1700
973,166,103,113
980,2593,2580,2585
987,2697,2691,2708
994,2668,2617,2631
1001,2249,2061,2109
1008,1947,1822,1851
1015,2667,2603,2640
1022,2671,2625,2636
1029,2698,2627,2658
1036,2720,2668,2681
1043,2454,2420,2431
1050,1103,22,24
1057,2712,2649,2692
1064,2743,2720,2733
1071,2740,2692,2704
1078,2727,2648,2736
1085,28,3,6
1092,506,379,398
1099,2453,2404,2451
1106,2371,2364,2363
1113,2601,2578,2600
1120,49,5,9
1127,633,501,514
1134,1153,825,875
1141,2636,2625,2626
1148,2685,2657,2644
1155,100,3,5
1162,1192,983,1025
1169,1383,1273,1359
1176,1565,1237,1432
1183,2634,2634,2615
1190,99,2,8
1197,2616,2604,2608
1204,2497,2497,2494
1211,1936,1936,1950
1218,1781,1625,1659
1225,317,258,276
1232,2737,2687,2701
1239,2700,2691,2687
1246,2725,2693,2696
1253,2368,2341,2350
1260,2088,1906,2012
1267,2779,2725,2726
1274,2739,2683,2752
1281,2768,2730,2757
1288,2744,2694,2735
1295,2583,2485,2512
1302,42,1,5
1309,1261,1261,1278
1316,1527,1527,1541
1323,1670,1670,1684
1330,1710,1710,1733
1337,53,3,10
1344,544,135,515
1351,1599,168,1549
1358,1815,1815,1817
1365,1780,1780,1808
1372,59,3,8
1379,735,163,674
1386,1117,134,1021
1393,1846,1846,1844
1400,2100,2078,2093
1407,71,4,8
1414,1067,190,963
1421,1309,1281,1306
1428,1387,1375,1382
1435,2212,2182,2177
1442,288,4,11
1449,1831,1831,1841
1456,2155,2155,2140
1463,1889,1851,1834
1470,1751,1613,1650
1477,2336,2282,2291
1484,2328,2298,2308
1491,2356,2291,2319
1498,2395,2323,2340
1505,2301,2168,2179
1512,2184,1916,1925
1519,718,128,701
1526,1170,1170,1183
1533,1466,1466,1482
1540,1578,1578,1585
1547,1427,1427,1443
1554,30,6,12
1561,1499,1492,1494
1568,1755,1755,1765
1575,1758,187,1671
1582,1868,1852,1859
1589,94,1,10
1596,751,157,576
1603,1885,1885,1885
1610,1971,1922,1921
1617,2054,2050,2075
1624,50,4,9
1631,971,137,744
1638,1272,192,1128
1645,2218,2195,2219
1652,2238,2211,2233
1659,193,1,5
1666,1344,551,1274
1673,1651,1639,1658
1680,1618,1474,1549
1687,2272,2236,2224
1694,2262,2162,2165
1701,2366,2298,2306
1708,2338,2278,2287
1715,2321,2142,2186
1722,2160,1883,1907
1729,45,4,8
1736,691,155,680
1743,1263,1263,1269
1750,1423,1423,1446
1757,1312,1312,1302
1764,1302,1302,1318
1771,1027,160,928
1778,1482,1465,1473
1785,1597,1597,1609
1792,1847,1847,1845
1799,1897,1892,1909
1806,56,2,7
1813,1736,1724,1756
1820,1862,1862,1854
1827,1990,1990,2011
1834,2056,2051,2063
1841,84,5,11
1848,957,127,708
1855,2018,2018,1999
1862,2220,2175,2190
1869,2261,2237,2237
1876,193,2,5
1883,1093,472,1010
1890,1424,1274,1290
1897,2290,2243,2269
1904,2285,2225,2231
1911,1636,1400,1400
1918,2356,2229,2317
1925,2193,2034,2130
1932,2137,1776,1805
1939,2341,2274,2316
1946,32,6,10
1953,830,129,665
1960,1014,171,938
1967,1115,1115,1113
1974,1301,1285,1312
1981,38,4,8
1988,978,163,982
1995,1557,1544,1570
2002,1612,1612,1625
2009,1572,1572,1567
2016,1589,1573,1569
2023,1255,191,1281
2030,1637,1637,1632
2037,1782,1782,1790
2044,2023,2010,2020
2051,2004,2004,2018
2058,78,5,15
2065,1785,354,1760
2072,2048,2048,2038
2079,2192,2159,2214
2086,2249,2249,2256
2093,150,1,7
2100,1026,306,848
2107,2242,2242,2256
2114,2281,2244,2256
2121,2298,2266,2277
2128,1323,665,652
2135,2141,2105,2083
2142,2130,1661,1720
2149,2378,2277,2339
2156,2374,2272,2320
2163,34,4,10
2170,517,415,421
2177,920,150,872
2184,1367,1367,1379
2191,1922,1922,1906
2198,53,3,11
2205,1115,162,957
2212,1383,165,1291
2219,1476,1475,1491
