"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityRegen","fecundityReck","trafficShortCoefficient","migrationDistanceThreshold"
2,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957594885,0.1,0.0,2.0,0.03,2.0,0.2,0.0,3.0,0.05,100.0
4,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957593054,0.1,0.0,2.0,0.03,2.0,0.2,0.0,7.0,0.05,100.0
6,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957592021,0.1,0.0,2.0,0.03,2.0,0.2,0.0,11.0,0.05,100.0
8,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957590855,0.1,0.0,2.0,0.03,2.0,0.2,0.1,3.0,0.05,100.0
10,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957589675,0.1,0.0,2.0,0.03,2.0,0.2,0.1,7.0,0.05,100.0
12,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957588426,0.1,0.0,2.0,0.03,2.0,0.2,0.1,11.0,0.05,100.0
14,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957587038,0.1,0.0,2.0,0.03,2.0,0.2,0.2,3.0,0.05,100.0
16,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957585638,0.1,0.0,2.0,0.03,2.0,0.2,0.2,7.0,0.05,100.0
18,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957584135,0.1,0.0,2.0,0.03,2.0,0.2,0.2,11.0,0.05,100.0
20,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957582917,0.1,0.0,2.0,0.03,2.0,0.2,0.3,3.0,0.05,100.0
22,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957581446,0.1,0.0,2.0,0.03,2.0,0.2,0.3,7.0,0.05,100.0
24,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957579969,0.1,0.0,2.0,0.03,2.0,0.2,0.3,11.0,0.05,100.0
26,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957578749,0.1,0.0,2.0,0.03,2.0,0.2,0.4,3.0,0.05,100.0
28,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957577300,0.1,0.0,2.0,0.03,2.0,0.2,0.4,7.0,0.05,100.0
30,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957575804,0.1,0.0,2.0,0.03,2.0,0.2,0.4,11.0,0.05,100.0
32,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957574238,0.1,0.0,2.0,0.03,2.0,0.2,0.5,3.0,0.05,100.0
34,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957572749,0.1,0.0,2.0,0.03,2.0,0.2,0.5,7.0,0.05,100.0
36,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957571108,0.1,0.0,2.0,0.03,2.0,0.2,0.5,11.0,0.05,100.0
38,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957569754,0.1,0.2,2.0,0.03,2.0,0.2,0.0,3.0,0.05,100.0
40,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957568758,0.1,0.2,2.0,0.03,2.0,0.2,0.0,7.0,0.05,100.0
42,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957567684,0.1,0.2,2.0,0.03,2.0,0.2,0.0,11.0,0.05,100.0
44,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957566712,0.1,0.2,2.0,0.03,2.0,0.2,0.1,3.0,0.05,100.0
46,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957565465,0.1,0.2,2.0,0.03,2.0,0.2,0.1,7.0,0.05,100.0
48,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957563945,0.1,0.2,2.0,0.03,2.0,0.2,0.1,11.0,0.05,100.0
50,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957562765,0.1,0.2,2.0,0.03,2.0,0.2,0.2,3.0,0.05,100.0
52,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957561208,0.1,0.2,2.0,0.03,2.0,0.2,0.2,7.0,0.05,100.0
54,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957559824,0.1,0.2,2.0,0.03,2.0,0.2,0.2,11.0,0.05,100.0
56,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957558362,0.1,0.2,2.0,0.03,2.0,0.2,0.3,3.0,0.05,100.0
58,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957556817,0.1,0.2,2.0,0.03,2.0,0.2,0.3,7.0,0.05,100.0
60,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957555425,0.1,0.2,2.0,0.03,2.0,0.2,0.3,11.0,0.05,100.0
62,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957553856,0.1,0.2,2.0,0.03,2.0,0.2,0.4,3.0,0.05,100.0
64,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957551933,0.1,0.2,2.0,0.03,2.0,0.2,0.4,7.0,0.05,100.0
66,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957550451,0.1,0.2,2.0,0.03,2.0,0.2,0.4,11.0,0.05,100.0
68,1.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,0.0,0.0,3.33E-4,2.0,-1957548941,0.1,0.2,2.0,0.03,2.0,0.2,0.5,3.0,0.05,100.0
