"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
1,1,150,10000.0,2.0,-605823045,0.0,6.0,1.0,0.0,0.1,0.0,0.0,50000.0,500.0,8.0
9,1,150,10000.0,2.0,-605390927,0.0,6.0,1.0,0.0,0.25,0.0,0.0,50000.0,500.0,8.0
17,1,150,10000.0,2.0,-604955267,0.0,6.0,1.0,0.0,0.4,0.0,0.0,50000.0,500.0,8.0
25,1,150,10000.0,2.0,-604522482,0.0,6.0,1.0,0.0,0.5,0.0,0.0,50000.0,500.0,8.0
33,1,150,10000.0,2.0,-604092509,0.0,6.0,1.0,0.0,0.6,0.0,0.0,50000.0,500.0,8.0
41,1,150,10000.0,2.0,-603662620,0.0,6.0,1.0,0.0,0.7,0.0,0.0,50000.0,500.0,8.0
49,1,150,10000.0,2.0,-603222893,0.0,6.0,1.0,0.0,0.8,0.0,0.0,50000.0,500.0,8.0
57,1,150,10000.0,2.0,-602789683,0.0,6.0,1.0,0.0,1.0,0.0,0.0,50000.0,500.0,8.0
65,1,150,10000.0,2.0,-602353542,0.0,6.0,1.0,0.25,0.1,0.0,0.0,50000.0,500.0,8.0
73,1,150,10000.0,2.0,-601920582,0.0,6.0,1.0,0.25,0.25,0.0,0.0,50000.0,500.0,8.0
81,1,150,10000.0,2.0,-601485201,0.0,6.0,1.0,0.25,0.4,0.0,0.0,50000.0,500.0,8.0
89,1,150,10000.0,2.0,-601044688,0.0,6.0,1.0,0.25,0.5,0.0,0.0,50000.0,500.0,8.0
97,1,150,10000.0,2.0,-600610713,0.0,6.0,1.0,0.25,0.6,0.0,0.0,50000.0,500.0,8.0
105,1,150,10000.0,2.0,-600173722,0.0,6.0,1.0,0.25,0.7,0.0,0.0,50000.0,500.0,8.0
113,1,150,10000.0,2.0,-599739512,0.0,6.0,1.0,0.25,0.8,0.0,0.0,50000.0,500.0,8.0
121,1,150,10000.0,2.0,-599297475,0.0,6.0,1.0,0.25,1.0,0.0,0.0,50000.0,500.0,8.0
129,1,150,10000.0,2.0,-598862178,0.0,6.0,1.0,0.5,0.1,0.0,0.0,50000.0,500.0,8.0
137,1,150,10000.0,2.0,-598427989,0.0,6.0,1.0,0.5,0.25,0.0,0.0,50000.0,500.0,8.0
145,1,150,10000.0,2.0,-597995572,0.0,6.0,1.0,0.5,0.4,0.0,0.0,50000.0,500.0,8.0
153,1,150,10000.0,2.0,-597557118,0.0,6.0,1.0,0.5,0.5,0.0,0.0,50000.0,500.0,8.0
161,1,150,10000.0,2.0,-597121486,0.0,6.0,1.0,0.5,0.6,0.0,0.0,50000.0,500.0,8.0
