"","pop1","pop2","dif","run"
"1",0,0,0,1
"2",0,0,0,1
"3",142,46,96,9
"4",152,73,79,17
"5",197,66,131,25
"6",218,72,146,33
"7",275,75,200,41
"8",243,82,161,49
"9",230,104,126,57
"10",0,0,0,65
"11",93,46,47,73
"12",188,41,147,81
"13",190,73,117,89
"14",206,60,146,97
"15",252,87,165,105
"16",243,77,166,113
"17",262,104,158,121
"18",0,0,0,129
"19",118,61,57,137
"20",251,55,196,145
"21",235,54,181,153
"22",242,97,145,161
"23",293,99,194,169
"24",353,65,288,177
"25",397,98,299,185
"26",0,0,0,193
"27",124,51,73,201
"28",155,53,102,209
"29",148,12,136,217
"30",233,55,178,225
"31",262,84,178,233
"32",251,88,163,241
"33",319,93,226,249
"34",0,0,0,257
"35",99,64,35,265
"36",199,48,151,273
"37",212,64,148,281
"38",214,73,141,289
"39",260,52,208,297
"40",268,49,219,305
"41",384,75,309,313
"42",0,0,0,321
"43",185,46,139,329
"44",110,43,67,337
"45",195,71,124,345
"46",173,22,151,353
"47",163,25,138,361
"48",284,118,166,369
"49",411,113,298,377
"50",0,0,0,385
"51",148,34,114,393
"52",143,45,98,401
"53",172,14,158,409
"54",218,62,156,417
"55",246,22,224,425
"56",202,18,184,433
"57",275,52,223,441
"58",0,0,0,449
"59",119,46,73,457
"60",156,14,142,465
"61",241,10,231,473
"62",198,12,186,481
"63",186,18,168,489
"64",144,36,108,497
"65",438,15,423,505
"66",0,0,0,513
"67",159,63,96,521
"68",175,83,92,529
"69",209,84,125,537
"70",238,108,130,545
"71",241,80,161,553
"72",346,101,245,561
"73",250,77,173,569
"74",0,0,0,577
"75",132,52,80,585
"76",227,54,173,593
"77",180,68,112,601
"78",218,79,139,609
"79",230,69,161,617
"80",356,117,239,625
"81",321,80,241,633
"82",0,0,0,641
"83",92,25,67,649
"84",201,52,149,657
"85",188,81,107,665
"86",232,102,130,673
"87",200,66,134,681
"88",314,78,236,689
"89",365,115,250,697
"90",0,0,0,705
"91",123,44,79,713
"92",146,41,105,721
"93",171,66,105,729
"94",219,70,149,737
"95",0,0,0,2
"96",190,50,140,10
"97",184,61,123,18
"98",192,57,135,26
"99",279,58,221,34
"100",229,66,163,42
"101",242,77,165,50
"102",267,68,199,58
"103",0,0,0,66
"104",95,67,28,74
"105",169,59,110,82
"106",174,74,100,90
"107",230,43,187,98
"108",290,60,230,106
"109",190,109,81,114
"110",240,100,140,122
"111",0,0,0,130
"112",144,36,108,138
"113",124,48,76,146
"114",191,73,118,154
"115",181,85,96,162
"116",225,64,161,170
"117",323,93,230,178
"118",388,72,316,186
"119",0,0,0,194
"120",102,56,46,202
"121",162,22,140,210
"122",185,47,138,218
"123",214,16,198,226
"124",248,69,179,234
"125",292,18,274,242
"126",225,86,139,250
"127",0,0,0,258
"128",63,46,17,266
"129",173,45,128,274
"130",149,51,98,282
"131",162,64,98,290
"132",289,87,202,298
"133",235,25,210,306
"134",298,29,269,314
"135",0,0,0,322
"136",135,21,114,330
"137",186,42,144,338
"138",176,13,163,346
"139",197,50,147,354
"140",243,33,210,362
"141",314,49,265,370
"142",273,141,132,378
"143",0,0,0,386
"144",186,51,135,394
"145",132,50,82,402
"146",200,49,151,410
"147",179,8,171,418
"148",291,31,260,426
"149",341,92,249,434
"150",423,61,362,442
"151",0,0,0,450
"152",123,45,78,458
"153",184,21,163,466
"154",186,28,158,474
"155",201,31,170,482
"156",256,31,225,490
"157",288,42,246,498
"158",277,107,170,506
"159",0,0,0,514
"160",142,51,91,522
"161",150,74,76,530
"162",188,56,132,538
"163",242,87,155,546
"164",288,75,213,554
"165",233,91,142,562
"166",320,91,229,570
"167",0,0,0,578
"168",117,56,61,586
"169",179,50,129,594
"170",134,33,101,602
"171",293,115,178,610
"172",319,74,245,618
"173",288,35,253,626
"174",242,113,129,634
"175",0,0,0,642
"176",88,50,38,650
"177",169,42,127,658
"178",210,32,178,666
"179",191,69,122,674
"180",213,19,194,682
"181",185,89,96,690
"182",346,98,248,698
"183",0,0,0,706
"184",139,69,70,714
"185",195,27,168,722
"186",167,63,104,730
"187",179,30,149,738
"188",0,0,0,3
"189",111,53,58,11
"190",146,31,115,19
"191",148,51,97,27
"192",156,66,90,35
"193",339,78,261,43
"194",239,86,153,51
"195",322,129,193,59
"196",0,0,0,67
"197",103,49,54,75
"198",122,69,53,83
"199",210,65,145,91
"200",275,34,241,99
"201",168,18,150,107
"202",258,98,160,115
"203",371,118,253,123
"204",0,0,0,131
"205",122,50,72,139
"206",168,44,124,147
"207",195,42,153,155
"208",211,71,140,163
"209",260,84,176,171
"210",190,89,101,179
"211",260,109,151,187
"212",0,0,0,195
"213",157,37,120,203
"214",136,44,92,211
"215",258,55,203,219
"216",169,20,149,227
"217",114,109,5,235
"218",270,96,174,243
"219",305,98,207,251
"220",0,0,0,259
"221",149,60,89,267
"222",150,42,108,275
"223",209,14,195,283
"224",263,59,204,291
"225",261,34,227,299
"226",249,39,210,307
"227",362,28,334,315
"228",0,0,0,323
"229",99,53,46,331
"230",169,19,150,339
"231",157,69,88,347
"232",208,39,169,355
"233",241,12,229,363
"234",307,52,255,371
"235",323,50,273,379
"236",0,0,0,387
"237",110,11,99,395
"238",143,17,126,403
"239",199,12,187,411
"240",185,87,98,419
"241",309,95,214,427
"242",245,76,169,435
"243",277,89,188,443
"244",0,0,0,451
"245",145,23,122,459
"246",135,72,63,467
"247",223,27,196,475
"248",248,35,213,483
"249",337,83,254,491
"250",250,55,195,499
"251",291,20,271,507
"252",0,0,0,515
"253",132,62,70,523
"254",229,54,175,531
"255",231,98,133,539
"256",278,94,184,547
"257",223,73,150,555
"258",232,62,170,563
"259",309,158,151,571
"260",0,0,0,579
"261",91,44,47,587
"262",112,50,62,595
"263",125,25,100,603
"264",203,73,130,611
"265",239,52,187,619
"266",251,80,171,627
"267",325,119,206,635
"268",0,0,0,643
"269",139,81,58,651
"270",119,54,65,659
"271",253,77,176,667
"272",186,71,115,675
"273",284,73,211,683
"274",226,54,172,691
"275",256,65,191,699
"276",0,0,0,707
"277",87,58,29,715
"278",155,63,92,723
"279",186,38,148,731
"280",0,0,0,4
"281",130,55,75,12
"282",153,57,96,20
"283",200,66,134,28
"284",203,82,121,36
"285",216,76,140,44
"286",200,82,118,52
"287",335,99,236,60
"288",0,0,0,68
"289",154,52,102,76
"290",147,15,132,84
"291",271,66,205,92
"292",172,84,88,100
"293",266,88,178,108
"294",283,107,176,116
"295",286,101,185,124
"296",0,0,0,132
"297",101,21,80,140
"298",122,23,99,148
"299",197,83,114,156
"300",230,77,153,164
"301",272,70,202,172
"302",315,48,267,180
"303",301,81,220,188
"304",0,0,0,196
"305",110,47,63,204
"306",136,63,73,212
"307",140,71,69,220
"308",117,57,60,228
"309",189,86,103,236
"310",239,79,160,244
"311",388,143,245,252
"312",0,0,0,260
"313",149,30,119,268
"314",138,52,86,276
"315",238,41,197,284
"316",162,10,152,292
