"run","immigration","infert","supply","push","randomSeed","precFlux","stelaeculty","canalDeath","canalDecay","sust","drought","killMaya","mortality","fort","precMean"
5,1,150,10000.0,2.0,-605823297,0.0,6.0,1.0,0.0,0.1,4.0,0.0,50000.0,500.0,8.0
13,1,150,10000.0,2.0,-605393677,0.0,6.0,1.0,0.0,0.25,4.0,0.0,50000.0,500.0,8.0
21,1,150,10000.0,2.0,-604964019,0.0,6.0,1.0,0.0,0.4,4.0,0.0,50000.0,500.0,8.0
29,1,150,10000.0,2.0,-604533007,0.0,6.0,1.0,0.0,0.5,4.0,0.0,50000.0,500.0,8.0
37,1,150,10000.0,2.0,-604093956,0.0,6.0,1.0,0.0,0.6,4.0,0.0,50000.0,500.0,8.0
45,1,150,10000.0,2.0,-603654636,0.0,6.0,1.0,0.0,0.7,4.0,0.0,50000.0,500.0,8.0
53,1,150,10000.0,2.0,-603218009,0.0,6.0,1.0,0.0,0.8,4.0,0.0,50000.0,500.0,8.0
61,1,150,10000.0,2.0,-602787633,0.0,6.0,1.0,0.0,1.0,4.0,0.0,50000.0,500.0,8.0
69,1,150,10000.0,2.0,-602349487,0.0,6.0,1.0,0.25,0.1,4.0,0.0,50000.0,500.0,8.0
77,1,150,10000.0,2.0,-601910926,0.0,6.0,1.0,0.25,0.25,4.0,0.0,50000.0,500.0,8.0
85,1,150,10000.0,2.0,-601477594,0.0,6.0,1.0,0.25,0.4,4.0,0.0,50000.0,500.0,8.0
93,1,150,10000.0,2.0,-601044520,0.0,6.0,1.0,0.25,0.5,4.0,0.0,50000.0,500.0,8.0
101,1,150,10000.0,2.0,-600614447,0.0,6.0,1.0,0.25,0.6,4.0,0.0,50000.0,500.0,8.0
109,1,150,10000.0,2.0,-600180054,0.0,6.0,1.0,0.25,0.7,4.0,0.0,50000.0,500.0,8.0
117,1,150,10000.0,2.0,-599747189,0.0,6.0,1.0,0.25,0.8,4.0,0.0,50000.0,500.0,8.0
125,1,150,10000.0,2.0,-599311942,0.0,6.0,1.0,0.25,1.0,4.0,0.0,50000.0,500.0,8.0
133,1,150,10000.0,2.0,-598880683,0.0,6.0,1.0,0.5,0.1,4.0,0.0,50000.0,500.0,8.0
141,1,150,10000.0,2.0,-598457676,0.0,6.0,1.0,0.5,0.25,4.0,0.0,50000.0,500.0,8.0
