"","run","pop1","pop2","dif","canalDeath","canalDecay","sust","drought"
"1",1,0,0,0,1,0,0.1,0
"2",2,0,0,0,1,0,0.1,1
"3",3,0,0,0,1,0,0.1,2
"4",4,0,0,0,1,0,0.1,3
"5",5,0,0,0,1,0,0.1,4
"6",6,0,0,0,1,0,0.1,5
"7",7,0,0,0,1,0,0.1,6
"8",8,0,0,0,1,0,0.1,7
"9",9,142,46,96,1,0,0.25,0
"10",10,190,50,140,1,0,0.25,1
"11",11,111,53,58,1,0,0.25,2
"12",12,130,55,75,1,0,0.25,3
"13",13,110,55,55,1,0,0.25,4
"14",14,157,31,126,1,0,0.25,5
"15",15,134,58,76,1,0,0.25,6
"16",16,101,51,50,1,0,0.25,7
"17",17,152,73,79,1,0,0.4,0
"18",18,184,61,123,1,0,0.4,1
"19",19,146,31,115,1,0,0.4,2
"20",20,153,57,96,1,0,0.4,3
"21",21,154,44,110,1,0,0.4,4
"22",22,137,41,96,1,0,0.4,5
"23",23,237,48,189,1,0,0.4,6
"24",24,157,54,103,1,0,0.4,7
"25",25,197,66,131,1,0,0.5,0
"26",26,192,57,135,1,0,0.5,1
"27",27,148,51,97,1,0,0.5,2
"28",28,200,66,134,1,0,0.5,3
"29",29,250,60,190,1,0,0.5,4
"30",30,190,65,125,1,0,0.5,5
"31",31,181,57,124,1,0,0.5,6
"32",32,147,65,82,1,0,0.5,7
"33",33,218,72,146,1,0,0.6,0
"34",34,279,58,221,1,0,0.6,1
"35",35,156,66,90,1,0,0.6,2
"36",36,203,82,121,1,0,0.6,3
"37",37,209,35,174,1,0,0.6,4
"38",38,153,81,72,1,0,0.6,5
"39",39,171,61,110,1,0,0.6,6
"40",40,126,67,59,1,0,0.6,7
"41",41,275,75,200,1,0,0.7,0
"42",42,229,66,163,1,0,0.7,1
"43",43,339,78,261,1,0,0.7,2
"44",44,216,76,140,1,0,0.7,3
"45",45,261,80,181,1,0,0.7,4
"46",46,256,63,193,1,0,0.7,5
"47",47,312,110,202,1,0,0.7,6
"48",48,247,102,145,1,0,0.7,7
"49",49,243,82,161,1,0,0.8,0
"50",50,242,77,165,1,0,0.8,1
"51",51,239,86,153,1,0,0.8,2
"52",52,200,82,118,1,0,0.8,3
"53",53,214,98,116,1,0,0.8,4
"54",54,248,96,152,1,0,0.8,5
"55",55,251,55,196,1,0,0.8,6
"56",56,242,94,148,1,0,0.8,7
"57",57,230,104,126,1,0,1,0
"58",58,267,68,199,1,0,1,1
"59",59,322,129,193,1,0,1,2
"60",60,335,99,236,1,0,1,3
"61",61,447,72,375,1,0,1,4
"62",62,405,122,283,1,0,1,5
"63",63,428,79,349,1,0,1,6
"64",64,327,105,222,1,0,1,7
"65",65,0,0,0,1,0.25,0.1,0
"66",66,0,0,0,1,0.25,0.1,1
"67",67,0,0,0,1,0.25,0.1,2
"68",68,0,0,0,1,0.25,0.1,3
"69",69,0,0,0,1,0.25,0.1,4
"70",70,0,0,0,1,0.25,0.1,5
"71",71,0,0,0,1,0.25,0.1,6
"72",72,0,0,0,1,0.25,0.1,7
"73",73,93,46,47,1,0.25,0.25,0
"74",74,95,67,28,1,0.25,0.25,1
"75",75,103,49,54,1,0.25,0.25,2
"76",76,154,52,102,1,0.25,0.25,3
"77",77,120,31,89,1,0.25,0.25,4
"78",78,91,43,48,1,0.25,0.25,5
"79",79,134,43,91,1,0.25,0.25,6
"80",80,137,33,104,1,0.25,0.25,7
"81",81,188,41,147,1,0.25,0.4,0
"82",82,169,59,110,1,0.25,0.4,1
"83",83,122,69,53,1,0.25,0.4,2
"84",84,147,15,132,1,0.25,0.4,3
"85",85,171,22,149,1,0.25,0.4,4
"86",86,189,58,131,1,0.25,0.4,5
"87",87,142,64,78,1,0.25,0.4,6
"88",88,188,61,127,1,0.25,0.4,7
"89",89,190,73,117,1,0.25,0.5,0
"90",90,174,74,100,1,0.25,0.5,1
"91",91,210,65,145,1,0.25,0.5,2
"92",92,271,66,205,1,0.25,0.5,3
"93",93,167,41,126,1,0.25,0.5,4
"94",94,150,62,88,1,0.25,0.5,5
"95",95,170,75,95,1,0.25,0.5,6
"96",96,138,70,68,1,0.25,0.5,7
"97",97,206,60,146,1,0.25,0.6,0
"98",98,230,43,187,1,0.25,0.6,1
"99",99,275,34,241,1,0.25,0.6,2
"100",100,172,84,88,1,0.25,0.6,3
"101",101,231,77,154,1,0.25,0.6,4
