"run","foodBloatsWeight","foodMin","weightRegen","foodGrowth","foodUnsustainability","weightMaxFactor","weightResil","infert","weightBloatRate","push","foodRegen","weightImproveRate","foodDecay","randomSeed","weightMinFactor","droughtMod","foodMax","weightDrought","foodResil","fort","foodDrought","deathFraction"
6,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.0,267078591,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
12,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.0,267085346,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
18,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.0,267089465,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
24,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.0,267092514,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
30,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.05,267096154,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
36,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.05,267098598,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
42,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.05,267101632,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
48,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.05,267104613,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
54,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.05,267107428,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
60,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.1,267112073,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
66,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.1,267115996,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
72,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.1,267119232,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
78,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.0,0.005,0.1,267122715,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
84,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.0,267125480,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
90,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.0,267128767,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
96,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.0,267132001,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
102,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.0,267136242,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
108,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.0,267140261,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
114,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.05,267144936,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
120,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.05,267148108,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
126,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.05,267151154,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
132,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.05,267154056,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
138,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.1,267157122,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
144,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.1,267160487,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
150,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.0,1.0,0.035,0.005,0.1,267163782,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
