"run","MaxPop","MinPop","countPop"
6,337,332,332
14,268,235,259
22,469,437,464
30,377,369,369
38,523,478,514
46,612,497,583
54,526,459,495
62,694,560,660
70,437,395,395
78,502,424,464
86,530,419,492
94,455,409,415
102,505,409,454
110,532,400,483
118,500,473,493
126,389,324,324
134,545,432,484
142,628,462,572
150,455,388,394
158,224,200,210
166,486,470,471
174,121,116,119
182,524,488,488
190,419,119,396
198,572,506,516
206,265,50,191
214,504,412,477
222,229,42,150
230,360,272,317
238,282,6,17
246,551,449,508
254,266,0,0
262,483,364,438
270,314,0,0
278,507,396,429
286,597,508,546
294,421,226,298
302,266,133,156
310,89,89,89
318,483,449,466
326,238,16,87
334,346,290,329
342,276,17,19
350,382,343,364
358,254,0,0
366,488,357,360
374,326,0,0
382,482,302,451
390,191,0,0
398,451,402,434
406,595,499,553
414,259,108,153
422,497,296,392
430,519,456,482
438,639,499,499
446,516,400,451
454,265,249,249
462,46,0,0
470,409,409,409
478,249,0,0
486,531,519,525
494,266,0,0
502,442,400,424
510,218,0,0
518,571,498,558
526,426,373,384
534,322,149,199
542,540,422,481
550,494,465,469
558,55,0,0
566,451,354,404
574,435,324,382
582,284,0,0
590,464,438,445
598,387,293,297
606,88,27,66
614,141,0,0
622,52,7,24
630,236,0,0
638,501,454,484
646,401,381,386
654,175,20,51
662,333,281,332
670,254,209,212
678,342,282,310
686,449,271,333
694,311,262,279
702,268,0,0
710,428,0,0
718,41,0,0
726,508,440,492
734,168,0,0
742,465,367,385
750,208,0,0
758,232,226,226
766,278,260,269
774,209,34,184
782,354,354,354
790,169,132,155
798,457,431,454
806,545,75,223
814,303,263,282
822,275,22,31
830,322,304,313
838,280,14,44
846,438,211,213
854,61,0,0
862,190,42,44
870,50,0,0
878,224,52,76
886,259,185,237
894,174,0,3
902,227,222,223
910,190,4,6
918,290,269,278
926,240,11,24
934,355,355,355
942,138,0,0
950,437,397,408
958,66,0,0
966,27,11,26
974,369,0,0
982,386,228,298
990,382,0,0
998,393,282,338
1006,86,56,66
1014,385,242,370
1022,468,325,401
1030,410,348,378
1038,90,0,10
1046,111,0,0
1054,366,340,362
1062,148,1,1
1070,198,186,192
1078,140,0,0
1086,204,184,197
1094,30,0,0
1102,270,59,174
1110,115,0,0
1118,333,251,284
1126,323,189,211
1134,348,328,332
1142,399,285,374
1150,177,0,0
1158,146,100,123
1166,212,36,93
1174,104,0,0
1182,67,0,9
1190,198,0,0
1198,41,0,11
1206,181,181,181
1214,211,0,0
1222,210,202,204
1230,288,0,0
1238,179,91,94
1246,231,111,117
1254,181,41,142
1262,131,23,26
1270,358,358,358
1278,184,93,110
1286,377,334,347
1294,298,250,278
1302,88,0,0
1310,159,72,117
1318,39,0,9
1326,104,15,36
1334,30,0,0
1342,376,293,348
1350,173,0,0
1358,215,57,196
1366,125,116,121
1374,95,15,70
1382,10,0,0
1390,356,0,0
1398,110,38,44
1406,168,17,101
1414,325,143,160
1422,73,3,25
1430,78,0,0
1438,165,0,0
1446,444,398,398
1454,106,0,0
1462,92,26,47
1470,268,0,0
1478,90,0,0
1486,214,148,192
1494,262,28,44
1502,346,323,335
1510,228,15,24
1518,252,245,248
1526,363,0,0
1534,328,315,318
1542,280,0,0
1550,262,245,253
1558,153,0,0
1566,272,108,234
1574,232,0,0
1582,56,0,0
1590,246,0,0
1598,104,95,96
1606,275,80,114
1614,155,34,94
1622,95,0,11
1630,72,17,18
1638,117,0,0
1646,189,58,175
1654,343,322,332
1662,103,0,0
1670,198,186,194
1678,392,0,0
1686,112,108,108
1694,290,0,0
1702,15,0,0
1710,178,0,0
1718,74,24,54
1726,114,97,110
1734,100,20,40
1742,156,103,114
1750,165,12,43
1758,168,144,160
1766,67,0,0
1774,97,2,21
1782,71,0,0
1790,55,0,0
1798,174,109,142
1806,304,299,299
1814,256,0,0
1822,279,271,276
1830,19,0,0
1838,183,163,171
1846,286,237,251
1854,345,311,338
1862,418,378,411
1870,63,0,0
1878,73,56,70
1886,129,10,50
1894,66,10,16
1902,87,2,31
1910,137,133,133
1918,34,1,14
1926,99,0,0
1934,35,0,0
1942,94,0,0
1950,80,0,0
1958,92,19,72
1966,258,250,252
1974,212,29,45
1982,189,173,179
1990,359,71,282
1998,262,135,137
2006,370,70,265
2014,100,24,33
2022,53,3,38
2030,83,0,0
2038,75,0,0
2046,46,0,0
2054,29,0,0
2062,113,16,29
2070,51,0,0
2078,74,22,56
2086,20,0,0
2094,13,0,0
2102,163,158,160
2110,42,0,0
2118,433,400,412
2126,91,0,0
2134,310,209,228
2142,40,33,33
2150,237,225,226
2158,179,1,1
2166,24,0,0
2174,147,0,0
2182,78,18,36
2190,182,0,0
2198,122,38,93
2206,91,35,45
2214,85,16,46
2222,217,210,210
2230,69,0,0
2238,36,0,0
2246,74,7,33
2254,1,0,0
2262,116,0,0
2270,46,0,0
2278,284,0,0
2286,485,464,470
2294,324,0,0
2302,309,267,286
2310,25,0,0
2318,253,222,240
2326,149,118,138
2334,289,278,286
2342,16,0,0
2350,83,13,62
2358,198,80,94
2366,3,0,0
2374,78,52,70
2382,86,0,0
2390,57,0,0
2398,75,0,0
2406,119,98,114
2414,170,0,0
2422,242,229,240
2430,59,0,0
2438,91,22,66
2446,144,130,130
2454,281,79,239
2462,43,4,10
2470,57,0,0
2478,23,0,0
2486,166,41,125
2494,33,0,0
2502,150,4,33
2510,23,0,0
2518,112,4,29
2526,35,0,0
2534,126,5,17
2542,82,19,40
2550,155,0,0
2558,296,291,291
2566,336,335,335
2574,425,419,419
2582,518,498,512
2590,356,335,342
2598,560,538,547
2606,457,401,413
2614,462,405,405
2622,428,386,415
2630,585,482,490
2638,521,489,498
2646,428,352,396
2654,400,333,372
2662,475,306,433
2670,521,471,475
2678,515,370,475
2686,563,426,508
2694,641,505,622
2702,379,359,366
2710,198,6,6
2718,333,318,318
2726,389,23,24
2734,464,436,449
2742,366,19,27
2750,444,439,439
2758,440,22,39
2766,388,357,372
2774,450,0,0
2782,459,420,420
2790,448,0,0
2798,428,327,362
2806,529,439,467
2814,399,292,364
2822,390,338,358
2830,528,429,506
2838,508,508,508
2846,341,280,304
2854,230,182,204
2862,270,0,0
2870,406,391,400
2878,236,0,0
2886,415,394,409
2894,375,0,0
2902,411,123,385
2910,132,0,0
2918,230,165,205
2926,408,330,366
2934,412,339,380
2942,380,283,367
2950,304,260,263
2958,306,106,160
2966,183,44,87
2974,389,205,319
2982,399,62,292
2990,384,295,354
2998,449,42,134
3006,297,59,136
3014,147,0,0
3022,328,68,184
3030,229,0,0
3038,340,74,310
3046,576,513,536
3054,450,79,237
3062,397,328,367
3070,182,21,30
3078,373,298,310
3086,280,208,210
3094,382,248,324
3102,195,24,66
3110,208,118,133
3118,192,6,19
3126,259,92,222
3134,208,0,0
3142,125,0,0
3150,344,0,0
3158,232,0,0
3166,481,434,464
3174,193,31,108
3182,63,57,58
3190,303,47,208
3198,404,358,386
3206,126,114,122
3214,491,454,454
3222,237,16,69
3230,155,47,79
3238,393,20,69
