"run","randomSeed","canalDeath","canalDecay","sust","drought","fort","infert","push","precMean"
6,963851941,1.0,0.0,0.3,2.5,25.0,50,1.0,7.0
14,963866031,1.0,0.0,0.3,6.5,25.0,50,1.0,7.0
22,963871932,1.0,0.0,0.5,3.0,25.0,50,1.0,7.0
30,963878403,1.0,0.0,0.5,7.0,25.0,50,1.0,7.0
38,963884317,1.0,0.0,0.7,3.5,25.0,50,1.0,7.0
46,963892138,1.0,0.0,0.9,0.0,25.0,50,1.0,7.0
54,963899526,1.0,0.0,0.9,4.0,25.0,50,1.0,7.0
62,963906045,1.0,0.0,1.1,0.5,25.0,50,1.0,7.0
70,963913254,1.0,0.0,1.1,4.5,25.0,50,1.0,7.0
78,963921037,1.0,0.0,1.3,1.0,25.0,50,1.0,7.0
86,963927417,1.0,0.0,1.3,5.0,25.0,50,1.0,7.0
94,963933708,1.0,0.0,1.5,1.5,25.0,50,1.0,7.0
102,963941185,1.0,0.0,1.5,5.5,25.0,50,1.0,7.0
110,963947259,1.0,0.0,1.7,2.0,25.0,50,1.0,7.0
118,963952147,1.0,0.0,1.7,6.0,25.0,50,1.0,7.0
126,963957479,1.0,0.0,1.9,2.5,25.0,50,1.0,7.0
134,963962740,1.0,0.0,1.9,6.5,25.0,50,1.0,7.0
142,963969516,1.0,0.25,0.3,3.0,25.0,50,1.0,7.0
150,963974516,1.0,0.25,0.3,7.0,25.0,50,1.0,7.0
158,963979119,1.0,0.25,0.5,3.5,25.0,50,1.0,7.0
166,963985317,1.0,0.25,0.7,0.0,25.0,50,1.0,7.0
174,963993020,1.0,0.25,0.7,4.0,25.0,50,1.0,7.0
182,963999083,1.0,0.25,0.9,0.5,25.0,50,1.0,7.0
190,964004223,1.0,0.25,0.9,4.5,25.0,50,1.0,7.0
198,964010936,1.0,0.25,1.1,1.0,25.0,50,1.0,7.0
206,964018419,1.0,0.25,1.1,5.0,25.0,50,1.0,7.0
214,964025331,1.0,0.25,1.3,1.5,25.0,50,1.0,7.0
222,964031919,1.0,0.25,1.3,5.5,25.0,50,1.0,7.0
230,964039005,1.0,0.25,1.5,2.0,25.0,50,1.0,7.0
238,964044403,1.0,0.25,1.5,6.0,25.0,50,1.0,7.0
246,964050052,1.0,0.25,1.7,2.5,25.0,50,1.0,7.0
254,964057259,1.0,0.25,1.7,6.5,25.0,50,1.0,7.0
262,964062745,1.0,0.25,1.9,3.0,25.0,50,1.0,7.0
270,964071410,1.0,0.25,1.9,7.0,25.0,50,1.0,7.0
278,964076083,1.0,0.5,0.3,3.5,25.0,50,1.0,7.0
286,964081516,1.0,0.5,0.5,0.0,25.0,50,1.0,7.0
294,964087935,1.0,0.5,0.5,4.0,25.0,50,1.0,7.0
302,964092596,1.0,0.5,0.7,0.5,25.0,50,1.0,7.0
310,964099693,1.0,0.5,0.7,4.5,25.0,50,1.0,7.0
318,964104514,1.0,0.5,0.9,1.0,25.0,50,1.0,7.0
326,964110492,1.0,0.5,0.9,5.0,25.0,50,1.0,7.0
334,964117321,1.0,0.5,1.1,1.5,25.0,50,1.0,7.0
342,964124480,1.0,0.5,1.1,5.5,25.0,50,1.0,7.0
350,964129257,1.0,0.5,1.3,2.0,25.0,50,1.0,7.0
358,964136520,1.0,0.5,1.3,6.0,25.0,50,1.0,7.0
366,964141973,1.0,0.5,1.5,2.5,25.0,50,1.0,7.0
374,964150154,1.0,0.5,1.5,6.5,25.0,50,1.0,7.0
382,964154129,1.0,0.5,1.7,3.0,25.0,50,1.0,7.0
390,964160711,1.0,0.5,1.7,7.0,25.0,50,1.0,7.0
398,964165655,1.0,0.5,1.9,3.5,25.0,50,1.0,7.0
406,964171206,1.0,0.75,0.3,0.0,25.0,50,1.0,7.0
414,964177342,1.0,0.75,0.3,4.0,25.0,50,1.0,7.0
422,964182534,1.0,0.75,0.5,0.5,25.0,50,1.0,7.0
430,964189644,1.0,0.75,0.5,4.5,25.0,50,1.0,7.0
438,964195476,1.0,0.75,0.7,1.0,25.0,50,1.0,7.0
446,964200439,1.0,0.75,0.7,5.0,25.0,50,1.0,7.0
454,964205955,1.0,0.75,0.9,1.5,25.0,50,1.0,7.0
462,964212964,1.0,0.75,0.9,5.5,25.0,50,1.0,7.0
470,964219097,1.0,0.75,1.1,2.0,25.0,50,1.0,7.0
478,964225180,1.0,0.75,1.1,6.0,25.0,50,1.0,7.0
486,964230529,1.0,0.75,1.3,2.5,25.0,50,1.0,7.0
494,964237047,1.0,0.75,1.3,6.5,25.0,50,1.0,7.0
502,964243612,1.0,0.75,1.5,3.0,25.0,50,1.0,7.0
510,964249210,1.0,0.75,1.5,7.0,25.0,50,1.0,7.0
518,964254309,1.0,0.75,1.7,3.5,25.0,50,1.0,7.0
526,964259631,1.0,0.75,1.9,0.0,25.0,50,1.0,7.0
534,964266318,1.0,0.75,1.9,4.0,25.0,50,1.0,7.0
542,964272078,1.0,1.0,0.3,0.5,25.0,50,1.0,7.0
550,964277124,1.0,1.0,0.3,4.5,25.0,50,1.0,7.0
558,964283225,1.0,1.0,0.5,1.0,25.0,50,1.0,7.0
566,964289536,1.0,1.0,0.5,5.0,25.0,50,1.0,7.0
574,964294801,1.0,1.0,0.7,1.5,25.0,50,1.0,7.0
582,964301503,1.0,1.0,0.7,5.5,25.0,50,1.0,7.0
590,964306582,1.0,1.0,0.9,2.0,25.0,50,1.0,7.0
598,964314134,1.0,1.0,0.9,6.0,25.0,50,1.0,7.0
606,964318599,1.0,1.0,1.1,2.5,25.0,50,1.0,7.0
614,964326477,1.0,1.0,1.1,6.5,25.0,50,1.0,7.0
622,964330606,1.0,1.0,1.3,3.0,25.0,50,1.0,7.0
630,964337443,1.0,1.0,1.3,7.0,25.0,50,1.0,7.0
638,964342330,1.0,1.0,1.5,3.5,25.0,50,1.0,7.0
646,964348413,1.0,1.0,1.7,0.0,25.0,50,1.0,7.0
654,964353844,1.0,1.0,1.7,4.0,25.0,50,1.0,7.0
662,964360720,1.0,1.0,1.9,0.5,25.0,50,1.0,7.0
670,964368672,1.0,1.0,1.9,4.5,25.0,50,1.0,7.0
678,964375765,1.0,1.25,0.3,1.0,25.0,50,1.0,7.0
686,964380238,1.0,1.25,0.3,5.0,25.0,50,1.0,7.0
694,964385144,1.0,1.25,0.5,1.5,25.0,50,1.0,7.0
702,964390894,1.0,1.25,0.5,5.5,25.0,50,1.0,7.0
710,964396254,1.0,1.25,0.7,2.0,25.0,50,1.0,7.0
718,964402876,1.0,1.25,0.7,6.0,25.0,50,1.0,7.0
726,964408605,1.0,1.25,0.9,2.5,25.0,50,1.0,7.0
734,964414797,1.0,1.25,0.9,6.5,25.0,50,1.0,7.0
742,964419552,1.0,1.25,1.1,3.0,25.0,50,1.0,7.0
750,964426709,1.0,1.25,1.1,7.0,25.0,50,1.0,7.0
758,964431788,1.0,1.25,1.3,3.5,25.0,50,1.0,7.0
766,964437076,1.0,1.25,1.5,0.0,25.0,50,1.0,7.0
774,964443911,1.0,1.25,1.5,4.0,25.0,50,1.0,7.0
782,964450644,1.0,1.25,1.7,0.5,25.0,50,1.0,7.0
790,964455473,1.0,1.25,1.7,4.5,25.0,50,1.0,7.0
798,964463604,1.0,1.25,1.9,1.0,25.0,50,1.0,7.0
806,964469624,1.0,1.25,1.9,5.0,25.0,50,1.0,7.0
814,964474472,1.0,1.5,0.3,1.5,25.0,50,1.0,7.0
822,964480790,1.0,1.5,0.3,5.5,25.0,50,1.0,7.0
830,964484923,1.0,1.5,0.5,2.0,25.0,50,1.0,7.0
838,964492226,1.0,1.5,0.5,6.0,25.0,50,1.0,7.0
846,964497627,1.0,1.5,0.7,2.5,25.0,50,1.0,7.0
854,964502907,1.0,1.5,0.7,6.5,25.0,50,1.0,7.0
862,964508922,1.0,1.5,0.9,3.0,25.0,50,1.0,7.0
870,964514218,1.0,1.5,0.9,7.0,25.0,50,1.0,7.0
878,964519452,1.0,1.5,1.1,3.5,25.0,50,1.0,7.0
886,964523765,1.0,1.5,1.3,0.0,25.0,50,1.0,7.0
894,964529768,1.0,1.5,1.3,4.0,25.0,50,1.0,7.0
902,964534544,1.0,1.5,1.5,0.5,25.0,50,1.0,7.0
910,964539732,1.0,1.5,1.5,4.5,25.0,50,1.0,7.0
918,964543569,1.0,1.5,1.7,1.0,25.0,50,1.0,7.0
926,964550228,1.0,1.5,1.7,5.0,25.0,50,1.0,7.0
934,964555272,1.0,1.5,1.9,1.5,25.0,50,1.0,7.0
